engine,map_kind,operation,implementation,round,ns_per_helper
kernel,array,lookup,control,1,1190.0832
kernel,array,lookup,real,1,2641.3136
kernel,array,lookup,real-minus-control,1,1.4512304
kernel,array,update,control,1,863.8272
kernel,array,update,real,1,11889.944
kernel,array,update,real-minus-control,1,11.0261168
kernel,percpu_array,lookup,control,1,1190.5856
kernel,percpu_array,lookup,real,1,3238.5216
kernel,percpu_array,lookup,real-minus-control,1,2.047936
kernel,percpu_array,update,control,1,954.1424
kernel,percpu_array,update,real,1,15357.536
kernel,percpu_array,update,real-minus-control,1,14.4033936
kernel,hash,lookup,control,1,1187.904
kernel,hash,lookup,real,1,27158.76
kernel,hash,lookup,real-minus-control,1,25.970856
kernel,hash,update,control,1,966.768
kernel,hash,update,real,1,92521.1536
kernel,hash,update,real-minus-control,1,91.5543856
kernel,percpu_hash,lookup,control,1,1189.2368
kernel,percpu_hash,lookup,real,1,28275.2736
kernel,percpu_hash,lookup,real-minus-control,1,27.0860368
kernel,percpu_hash,update,control,1,937.1136
kernel,percpu_hash,update,real,1,66759.4224
kernel,percpu_hash,update,real-minus-control,1,65.8223088
kernel,array,lookup,real,2,2640.968
kernel,array,lookup,control,2,1189.2624
kernel,array,lookup,real-minus-control,2,1.4517056
kernel,array,update,real,2,11889.408
kernel,array,update,control,2,863.64
kernel,array,update,real-minus-control,2,11.025768
kernel,percpu_array,lookup,real,2,3237.6208
kernel,percpu_array,lookup,control,2,1190.5328
kernel,percpu_array,lookup,real-minus-control,2,2.047088
kernel,percpu_array,update,real,2,15357.2528
kernel,percpu_array,update,control,2,953.9424
kernel,percpu_array,update,real-minus-control,2,14.4033104
kernel,hash,lookup,real,2,27099.1056
kernel,hash,lookup,control,2,1187.3408
kernel,hash,lookup,real-minus-control,2,25.9117648
kernel,hash,update,real,2,92541.8704
kernel,hash,update,control,2,970.2144
kernel,hash,update,real-minus-control,2,91.571656
kernel,percpu_hash,lookup,real,2,28266.408
kernel,percpu_hash,lookup,control,2,1188.8656
kernel,percpu_hash,lookup,real-minus-control,2,27.0775424
kernel,percpu_hash,update,real,2,66737.696
kernel,percpu_hash,update,control,2,936.4304
kernel,percpu_hash,update,real-minus-control,2,65.8012656
kernel,array,lookup,control,3,1188.2672
kernel,array,lookup,real,3,2642.5632
kernel,array,lookup,real-minus-control,3,1.454296
kernel,array,update,control,3,863.9792
kernel,array,update,real,3,11890.1392
