engine,map_kind,operation,measurement,n,mean_ns_per_helper,median_ns_per_helper,stdev_ns_per_helper,min_ns_per_helper,max_ns_per_helper
bpftime,array,lookup,net,5,10.562049028,10.561829960,0.001622340,10.559916670,10.564425370
bpftime,array,lookup,noop,5,1.851280030,1.850731030,0.002162402,1.849398140,1.854779180
bpftime,array,lookup,real,5,12.413329058,12.413416050,0.001167809,12.411812660,12.414695850
kernel,array,lookup,control,5,1188.796160000,1188.480000000,0.877263089,1187.888000000,1190.083200000
kernel,array,lookup,real,5,2642.363520000,2642.563200000,1.293714726,2640.968000000,2644.222400000
kernel,array,lookup,real-minus-control,5,1.453567360,1.454270400,0.002098167,1.451230400,1.456334400
bpftime,array,update,net,5,16.595028400,16.595607520,0.001754921,16.592868550,16.597045480
bpftime,array,update,noop,5,2.326083054,2.326060200,0.000624149,2.325460690,2.327051830
bpftime,array,update,real,5,18.921111454,18.921526870,0.002124493,18.918490230,18.924097310
kernel,array,update,control,5,863.775680000,863.827200000,0.168385843,863.568000000,863.979200000
kernel,array,update,real,5,11892.514560000,11889.944000000,7.442236189,11887.396800000,11905.684800000
kernel,array,update,real-minus-control,5,11.028738880,11.026116800,0.007375594,11.023828800,11.041820800
bpftime,hash,lookup,net,5,41.463854180,41.465547950,0.011094117,41.445549000,41.475574700
bpftime,hash,lookup,noop,5,1.857087310,1.852732750,0.012354274,1.849849300,1.878953700
bpftime,hash,lookup,real,5,43.320941490,43.320619550,0.004364977,43.314561750,43.325494500
kernel,hash,lookup,control,5,1188.598720000,1188.553600000,1.211622859,1187.340800000,1190.548800000
kernel,hash,lookup,real,5,27147.094400000,27155.987200000,55.153343703,27092.716800000,27228.902400000
kernel,hash,lookup,real-minus-control,5,25.958495680,25.965438400,0.054821352,25.904163200,26.040256000
bpftime,hash,update,net,5,52.973174340,52.970280800,0.011411440,52.962442050,52.992471950
bpftime,hash,update,noop,5,2.326907640,2.327140200,0.000783682,2.325610650,2.327703700
bpftime,hash,update,real,5,55.300081980,55.297481750,0.012020251,55.288052700,55.320175650
kernel,hash,update,control,5,969.537280000,970.214400000,1.567565001,966.768000000,970.460800000
kernel,hash,update,real,5,92504.321600000,92529.697600000,68.420426311,92383.179200000,92545.707200000
kernel,hash,update,real-minus-control,5,91.534784320,91.559236800,0.068429422,91.413345600,91.575297600
bpftime,percpu_array,lookup,net,5,20.483472928,20.484946080,0.004463861,20.476749550,20.487807220
bpftime,percpu_array,lookup,noop,5,1.854151546,1.852587300,0.004486819,1.849637330,1.860834530
bpftime,percpu_array,lookup,real,5,22.337624474,22.337584080,0.001003842,22.336260000,22.339079900
kernel,percpu_array,lookup,control,5,1190.081280000,1189.953600000,0.473328841,1189.468800000,1190.585600000
kernel,percpu_array,lookup,real,5,3239.020480000,3239.032000000,1.046086436,3237.620800000,3240.404800000
kernel,percpu_array,lookup,real-minus-control,5,2.048939200,2.049078400,0.001436698,2.047088000,2.050539200
bpftime,percpu_array,update,net,5,60.412459338,60.419317740,0.016392049,60.383644170,60.422884200
bpftime,percpu_array,update,noop,5,2.326002954,2.326136860,0.000433023,2.325494570,2.326419910
bpftime,percpu_array,update,real,5,62.738462292,62.745454600,0.016104117,62.710064080,62.748479330
kernel,percpu_array,update,control,5,954.219840000,953.942400000,2.159178985,951.619200000,957.625600000
kernel,percpu_array,update,real,5,15358.649600000,15357.252800000,3.973475255,15355.854400000,15365.665600000
kernel,percpu_array,update,real-minus-control,5,14.404429760,14.403393600,0.002326574,14.402084800,14.408040000
bpftime,percpu_hash,lookup,net,5,115.696353470,115.700732950,0.046729123,115.631065500,115.746835850
bpftime,percpu_hash,lookup,noop,5,1.860617570,1.858111250,0.009733609,1.851880750,1.874759300
bpftime,percpu_hash,lookup,real,5,117.556971040,117.566689800,0.046766004,117.482946250,117.604947100
kernel,percpu_hash,lookup,control,5,1188.734400000,1188.699200000,0.336380737,1188.398400000,1189.236800000
kernel,percpu_hash,lookup,real,5,28317.332480000,28313.145600000,51.436467604,28266.408000000,28393.139200000
kernel,percpu_hash,lookup,real-minus-control,5,27.128598080,27.124446400,0.051702905,27.077542400,27.204667200
bpftime,percpu_hash,update,net,5,195.306805440,195.303416850,0.013285846,195.288723900,195.320841900
bpftime,percpu_hash,update,noop,5,2.326682760,2.327048950,0.000883323,2.325619500,2.327718400
bpftime,percpu_hash,update,real,5,197.633488200,197.630533050,0.013706737,197.614343400,197.648560300
kernel,percpu_hash,update,control,5,937.291840000,937.113600000,0.968400975,936.350400000,938.536000000
kernel,percpu_hash,update,real,5,66742.272640000,66744.833600000,13.088447259,66723.545600000,66759.422400000
kernel,percpu_hash,update,real-minus-control,5,65.804980800,65.806804800,0.012641536,65.787195200,65.822308800
