map_kind,allocation,implementation,round,samples,runtime_ns,avg_ns_per_invocation
hash,prealloc,control,1,20,82560,4128.000000000
hash,prealloc,real,1,20,2887552,144377.600000000
hash,prealloc,real-minus-control,1,20,0,140.249600000
percpu_hash,prealloc,control,1,20,27104,1355.200000000
percpu_hash,prealloc,real,1,20,3567840,178392.000000000
percpu_hash,prealloc,real-minus-control,1,20,0,177.036800000
hash,no_prealloc,control,1,20,55488,2774.400000000
hash,no_prealloc,real,1,20,4497472,224873.600000000
hash,no_prealloc,real-minus-control,1,20,0,222.099200000
percpu_hash,no_prealloc,control,1,20,32992,1649.600000000
percpu_hash,no_prealloc,real,1,20,11875200,593760.000000000
percpu_hash,no_prealloc,real-minus-control,1,20,0,592.110400000
hash,prealloc,real,2,20,2677344,133867.200000000
hash,prealloc,control,2,20,59488,2974.400000000
hash,prealloc,real-minus-control,2,20,0,130.892800000
percpu_hash,prealloc,real,2,20,3626144,181307.200000000
percpu_hash,prealloc,control,2,20,30560,1528.000000000
percpu_hash,prealloc,real-minus-control,2,20,0,179.779200000
hash,no_prealloc,real,2,20,4240896,212044.800000000
hash,no_prealloc,control,2,20,74144,3707.200000000
hash,no_prealloc,real-minus-control,2,20,0,208.337600000
percpu_hash,no_prealloc,real,2,20,11800192,590009.600000000
percpu_hash,no_prealloc,control,2,20,68352,3417.600000000
percpu_hash,no_prealloc,real-minus-control,2,20,0,586.592000000
hash,prealloc,control,3,20,73824,3691.200000000
hash,prealloc,real,3,20,2671712,133585.600000000
hash,prealloc,real-minus-control,3,20,0,129.894400000
percpu_hash,prealloc,control,3,20,27040,1352.000000000
percpu_hash,prealloc,real,3,20,3508992,175449.600000000
percpu_hash,prealloc,real-minus-control,3,20,0,174.097600000
hash,no_prealloc,control,3,20,75392,3769.600000000
hash,no_prealloc,real,3,20,4596448,229822.400000000
hash,no_prealloc,real-minus-control,3,20,0,226.052800000
percpu_hash,no_prealloc,control,3,20,36416,1820.800000000
percpu_hash,no_prealloc,real,3,20,11900928,595046.400000000
percpu_hash,no_prealloc,real-minus-control,3,20,0,593.225600000
