map_kind,allocation,implementation,round,samples,runtime_ns,avg_ns_per_invocation
hash,prealloc,control,1,10,14080,1408.000000000
hash,prealloc,real,1,10,1295264,129526.400000000
hash,prealloc,real-minus-control,1,10,0,128.118400000
percpu_hash,prealloc,control,1,10,13984,1398.400000000
percpu_hash,prealloc,real,1,10,1758112,175811.200000000
percpu_hash,prealloc,real-minus-control,1,10,0,174.412800000
hash,no_prealloc,control,1,10,14208,1420.800000000
hash,no_prealloc,real,1,10,2114656,211465.600000000
hash,no_prealloc,real-minus-control,1,10,0,210.044800000
percpu_hash,no_prealloc,control,1,10,29664,2966.400000000
percpu_hash,no_prealloc,real,1,10,5724224,572422.400000000
percpu_hash,no_prealloc,real-minus-control,1,10,0,569.456000000
hash,prealloc,real,2,10,1392480,139248.000000000
hash,prealloc,control,2,10,14016,1401.600000000
hash,prealloc,real-minus-control,2,10,0,137.846400000
percpu_hash,prealloc,real,2,10,1756224,175622.400000000
percpu_hash,prealloc,control,2,10,14048,1404.800000000
percpu_hash,prealloc,real-minus-control,2,10,0,174.217600000
hash,no_prealloc,real,2,10,2118080,211808.000000000
hash,no_prealloc,control,2,10,14400,1440.000000000
hash,no_prealloc,real-minus-control,2,10,0,210.368000000
percpu_hash,no_prealloc,real,2,10,5720288,572028.800000000
percpu_hash,no_prealloc,control,2,10,29440,2944.000000000
percpu_hash,no_prealloc,real-minus-control,2,10,0,569.084800000
hash,prealloc,control,3,10,17568,1756.800000000
hash,prealloc,real,3,10,1283392,128339.200000000
hash,prealloc,real-minus-control,3,10,0,126.582400000
percpu_hash,prealloc,control,3,10,13984,1398.400000000
percpu_hash,prealloc,real,3,10,1737216,173721.600000000
percpu_hash,prealloc,real-minus-control,3,10,0,172.323200000
hash,no_prealloc,control,3,10,14240,1424.000000000
hash,no_prealloc,real,3,10,2091392,209139.200000000
hash,no_prealloc,real-minus-control,3,10,0,207.715200000
percpu_hash,no_prealloc,control,3,10,34880,3488.000000000
percpu_hash,no_prealloc,real,3,10,6047520,604752.000000000
percpu_hash,no_prealloc,real-minus-control,3,10,0,601.264000000
hash,prealloc,real,4,10,1281184,128118.400000000
hash,prealloc,control,4,10,17120,1712.000000000
hash,prealloc,real-minus-control,4,10,0,126.406400000
percpu_hash,prealloc,real,4,10,1769472,176947.200000000
percpu_hash,prealloc,control,4,10,14336,1433.600000000
percpu_hash,prealloc,real-minus-control,4,10,0,175.513600000
hash,no_prealloc,real,4,10,2120896,212089.600000000
hash,no_prealloc,control,4,10,14112,1411.200000000
hash,no_prealloc,real-minus-control,4,10,0,210.678400000
percpu_hash,no_prealloc,real,4,10,5725888,572588.800000000
percpu_hash,no_prealloc,control,4,10,15168,1516.800000000
percpu_hash,no_prealloc,real-minus-control,4,10,0,571.072000000
hash,prealloc,control,5,10,17216,1721.600000000
hash,prealloc,real,5,10,1414752,141475.200000000
hash,prealloc,real-minus-control,5,10,0,139.753600000
percpu_hash,prealloc,control,5,10,14272,1427.200000000
percpu_hash,prealloc,real,5,10,1795104,179510.400000000
percpu_hash,prealloc,real-minus-control,5,10,0,178.083200000
hash,no_prealloc,control,5,10,14336,1433.600000000
hash,no_prealloc,real,5,10,2105024,210502.400000000
hash,no_prealloc,real-minus-control,5,10,0,209.068800000
percpu_hash,no_prealloc,control,5,10,28000,2800.000000000
percpu_hash,no_prealloc,real,5,10,5821120,582112.000000000
percpu_hash,no_prealloc,real-minus-control,5,10,0,579.312000000
