component,metric,mean_effect,share_of_complete_find_percent
key_assign_over_fixed_memcpy,ns/helper,7.147287360,
complete_impl_find,ns/helper,125.274717760,
normal_hash_leaf,ns/helper,15.186410880,12.122487
generic_equality_leaf,ns/helper,27.280194240,21.776297
hash_equality_interaction,ns/helper,0.332327680,0.265279
boost_container_remainder,ns/helper,82.475784960,65.835938
key_assign_over_fixed_memcpy,cycles/helper,12.182007083,
complete_impl_find,cycles/helper,216.313139217,
normal_hash_leaf,cycles/helper,25.583819683,11.827215
generic_equality_leaf,cycles/helper,48.024136417,22.201211
hash_equality_interaction,cycles/helper,0.601287500,0.277971
boost_container_remainder,cycles/helper,142.103895617,65.693603
key_assign_over_fixed_memcpy,instructions/helper,46.811609300,
complete_impl_find,instructions/helper,661.304987367,
normal_hash_leaf,instructions/helper,46.048002983,6.963202
generic_equality_leaf,instructions/helper,180.942816583,27.361478
hash_equality_interaction,instructions/helper,-0.208600433,-0.031544
boost_container_remainder,instructions/helper,434.522768234,65.706864
