effect,from_mode,to_mode,metric,mean_saving_per_helper,median,sample_sd,min,max
key vector assign above fixed memcpy,base,percpu_hash_lookup_raw_key_copy,cycles,12.182007083,12.397130900,0.505216465,11.604833650,12.544056700
key vector assign above fixed memcpy,base,percpu_hash_lookup_raw_key_copy,instructions,46.811609300,46.972776350,0.339687823,46.421337700,47.040713850
normal hasher above exact cached hash (normal equality),base,percpu_hash_lookup_cached_hash,cycles,26.185107183,25.841911000,0.627895591,25.803609300,26.909801250
normal hasher above exact cached hash (normal equality),base,percpu_hash_lookup_cached_hash,instructions,45.839402550,45.972892000,0.344243510,45.448406350,46.096909300
generic vector equality above fixed4 equality (normal hash),base,percpu_hash_lookup_fixed4_equal,cycles,48.625423917,48.213766850,1.782201096,47.085072450,50.577432450
generic vector equality above fixed4 equality (normal hash),base,percpu_hash_lookup_fixed4_equal,instructions,180.734216150,180.889170000,0.312130181,180.374928600,180.938549850
normal hasher above exact cached hash (fixed4 equality),percpu_hash_lookup_fixed4_equal,percpu_hash_lookup_cached_hash_fixed4_equal,cycles,25.583819683,24.934038200,3.182057088,22.776806000,29.040614850
normal hasher above exact cached hash (fixed4 equality),percpu_hash_lookup_fixed4_equal,percpu_hash_lookup_cached_hash_fixed4_equal,instructions,46.048002983,46.056970200,0.031334891,46.013162050,46.073876700
generic vector equality above fixed4 equality (cached hash),percpu_hash_lookup_cached_hash,percpu_hash_lookup_cached_hash_fixed4_equal,cycles,48.024136417,47.550629150,2.064031402,46.238003800,50.283776300
generic vector equality above fixed4 equality (cached hash),percpu_hash_lookup_cached_hash,percpu_hash_lookup_cached_hash_fixed4_equal,instructions,180.942816583,180.929440050,0.035907599,180.915517250,180.983492450
