mode,run,metric,net_per_helper
base,1,cycles,295.007632650
base,1,instructions,1040.821975250
base,2,cycles,295.925297400
base,2,instructions,1041.333757600
base,3,cycles,295.825899650
base,3,instructions,1041.419634250
percpu_hash_lookup_raw_key_copy,1,cycles,283.402799000
percpu_hash_lookup_raw_key_copy,1,instructions,994.400637550
percpu_hash_lookup_raw_key_copy,2,cycles,283.381240700
percpu_hash_lookup_raw_key_copy,2,instructions,994.360981250
percpu_hash_lookup_raw_key_copy,3,cycles,283.428768750
percpu_hash_lookup_raw_key_copy,3,instructions,994.378920400
percpu_hash_lookup_cached_hash,1,cycles,269.204023350
percpu_hash_lookup_cached_hash,1,instructions,995.373568900
percpu_hash_lookup_cached_hash,2,cycles,269.015496150
percpu_hash_lookup_cached_hash,2,instructions,995.360865600
percpu_hash_lookup_cached_hash,3,cycles,269.983988650
percpu_hash_lookup_cached_hash,3,instructions,995.322724950
percpu_hash_lookup_fixed4_equal,1,cycles,244.430200200
percpu_hash_lookup_fixed4_equal,1,instructions,860.447046650
percpu_hash_lookup_fixed4_equal,2,cycles,247.711530550
percpu_hash_lookup_fixed4_equal,2,instructions,860.444587600
percpu_hash_lookup_fixed4_equal,3,cycles,248.740827200
percpu_hash_lookup_fixed4_equal,3,instructions,860.481084400
percpu_hash_lookup_cached_hash_fixed4_equal,1,cycles,221.653394200
percpu_hash_lookup_cached_hash_fixed4_equal,1,instructions,814.390076450
percpu_hash_lookup_cached_hash_fixed4_equal,2,cycles,222.777492350
percpu_hash_lookup_cached_hash_fixed4_equal,2,instructions,814.431425550
percpu_hash_lookup_cached_hash_fixed4_equal,3,cycles,219.700212350
percpu_hash_lookup_cached_hash_fixed4_equal,3,instructions,814.407207700
