# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 3129131449
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    24.30%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::per_cpu_hash_map_impl::elem_lookup(void const*)
    13.23%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bytes_vec_equal::operator()(boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> const&, boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> const&) const [clone .isra.0]
     8.10%  helper-hash-clo  libbpftime-agent.so    [.] boost::unordered::detail::grouped_bucket_array<boost::unordered::detail::bucket<boost::unordered::detail::node<std::pair<boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> const, boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> >, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul> >, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul> >, boost::interprocess::allocator<std::pair<boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> const, boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> >, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, boost::unordered::detail::prime_fmod_size<void> >::at(unsigned long) const
     7.00%  helper-hash-clo  libbpftime-agent.so    [.] spdlog::details::registry::instance()
     5.95%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bytes_vec_hasher::operator()(boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> const&) const [clone .isra.0]
     3.97%  helper-hash-clo  libbpftime-agent.so    [.] void boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void>::assign<unsigned char*>(unsigned char*, unsigned char*, boost::move_detail::disable_if_or<void, boost::move_detail::is_same<boost::move_detail::integral_constant<unsigned int, 2u>, boost::move_detail::integral_constant<unsigned int, 0u> >, boost::move_detail::is_convertible<unsigned char*, unsigned long>, boost::container::dtl::is_input_iterator<unsigned char*, boost::container::dtl::has_iterator_category<unsigned char*>::value>, boost::move_detail::bool_<false> >::type*) [clone .constprop.0]
     3.91%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bpftime_shm::try_get_map_handler(int) const [clone .constprop.0]
     3.58%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_lookup_elem(void const*, bool) const
     2.70%  helper-hash-clo  libbpftime-agent.so    [.] boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, false> std::copy<boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, false>, boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, false> >(boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, false>, boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, false>, boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, false>)
     2.70%  helper-hash-clo  libc.so.6              [.] sched_getcpu
