mode,run,net_ns_per_helper
base,1,171.456340800
base,2,171.429987200
base,3,171.392187200
base,4,171.173051200
base,5,171.589580800
percpu_hash_lookup_raw_key_copy,1,164.129641600
percpu_hash_lookup_raw_key_copy,2,164.707604800
percpu_hash_lookup_raw_key_copy,3,163.972867200
percpu_hash_lookup_raw_key_copy,4,164.198046400
percpu_hash_lookup_raw_key_copy,5,164.296550400
percpu_hash_lookup_cached_hash,1,155.870017600
percpu_hash_lookup_cached_hash,2,156.022416000
percpu_hash_lookup_cached_hash,3,156.107691200
percpu_hash_lookup_cached_hash,4,155.923984000
percpu_hash_lookup_cached_hash,5,155.523345600
percpu_hash_lookup_fixed4_equal,1,143.851748800
percpu_hash_lookup_fixed4_equal,2,143.829544000
percpu_hash_lookup_fixed4_equal,3,143.864433600
percpu_hash_lookup_fixed4_equal,4,143.773048000
percpu_hash_lookup_fixed4_equal,5,143.659763200
percpu_hash_lookup_cached_hash_fixed4_equal,1,128.553742400
percpu_hash_lookup_cached_hash_fixed4_equal,2,128.646451200
percpu_hash_lookup_cached_hash_fixed4_equal,3,128.580249600
percpu_hash_lookup_cached_hash_fixed4_equal,4,128.558411200
percpu_hash_lookup_cached_hash_fixed4_equal,5,128.707628800
