operation,layer,mean_ns_per_op,delta_from_control_ns_per_op,instructions_per_op
lookup,control,2.9036428,0.0,15.60108742
lookup,sched,4.6349029999999996,1.7312601999999995,46.19415322
lookup,key_copy,13.6462974,10.7426546,136.98607326
lookup,hash_find,104.93897820000001,102.03533540000001,626.43425838
lookup,value_select,105.9563558,103.052713,632.56327344
lookup,l0,116.3022168,113.398574,737.37772152
lookup,l1,122.1681064,119.2644636,791.44826496
lookup,l2,127.4110008,124.507358,826.13857074
lookup,l3,127.9147388,125.011096,829.19661052
update,control,2.903565,0.0,17.63986972
update,sched,4.6728482,1.7692831999999998,48.23455036
update,key_copy,13.089084,10.185519,132.91516088
update,value_copy,21.4240216,18.5204566,214.52868108
update,hash_find,112.5839118,109.6803468,702.95340934
update,copy_existing,173.9345424,171.0309774,1103.6051721
update,l0,181.8940734,178.9905084,1189.36023686
update,l1,188.8366666,185.93310160000001,1246.48561104
update,l2,198.8357362,195.93217120000003,1288.32834692
update,l3,198.0251538,195.1215888,1288.32885542
delete,control,3.0976,0.0,not measured
delete,sched,4.9474,1.8498,not measured
delete,key_copy,13.94,10.8424,not measured
delete,hash_find,996.696,993.5984000000001,not measured
delete,l0,973.8982,970.8006,not measured
delete,l1,919.6878,916.5902000000001,not measured
delete,l2,924.962,921.8643999999999,not measured
delete,l3,933.3588,930.2611999999999,not measured
