operation,layer,task_clock_msec,cycles,instructions,branches,branch_misses,cycles_per_op,instructions_per_op,branches_per_op,branch_misses_per_op,ipc
lookup,control,189.39,327215201.0,728756268.0,176200047.0,150925.0,6.54430402,14.57512536,3.52400094,0.0030185,2.227146739432805
lookup,l0,2047.53,3537965350.0,9397271701.0,1998543777.0,5932227.0,70.759307,187.94543402,39.97087554,0.11864454,2.6561231587528127
lookup,l1,2230.31,3853797203.0,13426871554.0,2865638824.0,6008213.0,77.07594406,268.53743108,57.31277648,0.12016426,3.48406282083235
lookup,l2,2342.54,4047703944.0,15161083187.0,3222680947.0,6644026.0,80.95407888,303.22166374,64.45361894,0.13288052,3.7456008138820542
lookup,l3,2291.12,3958863176.0,15314133587.0,3222675182.0,6390178.0,79.17726352,306.28267174,64.45350364,0.12780356,3.8683159549033124
update,control,188.89,326356652.0,780352820.0,176176067.0,148030.0,6.52713304,15.6070564,3.52352134,0.0029606,2.39110437987947
update,l0,2118.75,3660999067.0,11183168724.0,2406567625.0,6166792.0,73.21998134,223.66337448,48.1313525,0.12333584,3.054676747886754
update,l1,2673.18,4619026170.0,15927614413.0,3222801569.0,6261550.0,92.3805234,318.55228826,64.45603138,0.125231,3.4482624316891455
update,l2,2887.21,4988807959.0,18018891737.0,3579867202.0,6761554.0,99.77615918,360.37783474,71.59734404,0.13523108,3.6118631715404543
update,l3,2896.98,5005709710.0,18019119005.0,3579891668.0,6437869.0,100.1141942,360.3823801,71.59783336,0.12875738,3.5997131373804736
