operation,layer,n,mean_ns_per_op,median_ns_per_op,stdev_ns_per_op,min_ns_per_op,max_ns_per_op,delta_from_control_ns_per_op
lookup,control,5,2.9066452,2.906787,0.0008877959788149451,2.905452,2.907721,0.0
lookup,l0,5,39.3396004,39.339319,0.012256950244656327,39.327344,39.359137,36.4329552
lookup,l1,5,42.8636568,42.865024,0.00851661767957145,42.852396,42.872755,39.9570116
lookup,l2,5,44.2524294,44.252735,0.013046498200666489,44.234801,44.271052,41.3457842
lookup,l3,5,44.1167708,44.109961,0.018928439600241743,44.096643,44.144494,41.2101256
update,control,5,2.9038078,2.903619,0.0006047079460366883,2.903267,2.904838,0.0
update,l0,5,40.7142276,40.715605,0.0035715095967949408,40.708296,40.717189,37.8104198
update,l1,5,50.2521422,50.251285,0.005621170936735876,50.244769,50.25947,47.3483344
update,l2,5,55.7566524,55.754546,0.015335876606834964,55.734798,55.775398,52.8528446
update,l3,5,56.4931316,56.495059,0.006650977807811818,56.481587,56.498506,53.589323799999995
