operation,layer,task_clock_msec,cycles,instructions,branches,branch_misses,cycles_per_op,instructions_per_op,branches_per_op,branch_misses_per_op,ipc
lookup,control,215.27,371921454.0,780054371.0,190774027.0,198080.0,7.43842908,15.60108742,3.81548054,0.0039616,2.097363200241737
lookup,sched,298.55,515793236.0,2309707661.0,496742372.0,196418.0,10.31586472,46.19415322,9.93484744,0.00392836,4.47797198527047
lookup,key_copy,762.15,1316866953.0,6849303663.0,1312867239.0,212080.0,26.33733906,136.98607326,26.25734478,0.0042416,5.2012115934691545
lookup,hash_find,5425.45,9374755528.0,31321712919.0,3049864549.0,18125425.0,187.49511056,626.43425838,60.99729098,0.3625085,3.3410698364826734
lookup,value_select,5468.27,9448748612.0,31628163672.0,3049919880.0,18257605.0,188.97497224,632.56327344,60.9983976,0.3651521,3.3473388880123167
lookup,l0,6002.15,10371185650.0,36868886076.0,3696822128.0,18255171.0,207.423713,737.37772152,73.93644256,0.36510342,3.554934538848989
lookup,l1,6293.91,10875351862.0,39572413248.0,4053907630.0,18087258.0,217.50703724,791.44826496,81.0781526,0.36174516,3.6387248661141296
lookup,l2,6566.63,11346611930.0,41306928537.0,4410999732.0,18276921.0,226.9322386,826.13857074,88.21999464,0.36553842,3.6404636724894144
lookup,l3,6606.24,11414981116.0,41459830526.0,4410986184.0,18363422.0,228.29962232,829.19661052,88.21972368,0.36726844,3.632054236856085
update,control,215.25,371898582.0,881993486.0,190771429.0,205058.0,7.43797164,17.63986972,3.81542858,0.00410116,2.3715967973225562
update,sched,305.25,527396956.0,2411727518.0,496742026.0,201985.0,10.54793912,48.23455036,9.93484052,0.0040397,4.57288858148055
update,key_copy,739.76,1278190362.0,6645758044.0,1312922410.0,201039.0,25.56380724,132.91516088,26.2584482,0.00402078,5.199349206170903
update,value_copy,1158.79,2002245236.0,10726434054.0,2078051869.0,206648.0,40.04490472,214.52868108,41.56103738,0.00413296,5.357202934556015
update,hash_find,5828.38,10070968967.0,35147670467.0,3764023132.0,18334615.0,201.41937934,702.95340934,75.28046264,0.3666923,3.4899988851291233
update,copy_existing,8926.79,15424787967.0,55180258605.0,4428109998.0,19160190.0,308.49575934,1103.6051721,88.56219996,0.3832038,3.5773755025387315
update,l0,9352.3,16159977199.0,59468011843.0,5176960316.0,19646156.0,323.19954398,1189.36023686,103.53920632,0.39292312,3.6799564201538573
update,l1,9701.69,16763645353.0,62324280552.0,5534012793.0,20123547.0,335.27290706,1246.48561104,110.68025586,0.40247094,3.717823852724642
update,l2,10191.44,17609861275.0,64416417346.0,5891215090.0,20010857.0,352.1972255,1288.32834692,117.8243018,0.40021714,3.6579741509633217
update,l3,10182.11,17593684579.0,64416442771.0,5891232804.0,19805607.0,351.87369158,1288.32885542,117.82465608,0.39611214,3.661338958406025
