operation,layer,n,mean_ns_per_op,median_ns_per_op,stdev_ns_per_op,min_ns_per_op,max_ns_per_op,delta_from_control_ns_per_op
lookup,control,5,2.9036428,2.903646,0.0007487931623618451,2.90275,2.904766,0.0
lookup,sched,5,4.6349029999999996,4.634983,0.004218617842374372,4.630528,4.641214,1.7312601999999995
lookup,key_copy,5,13.6462974,13.643771,0.01108415658947502,13.632056,13.660783,10.7426546
lookup,hash_find,5,104.93897820000001,104.940791,0.00956692509116587,104.922628,104.945883,102.03533540000001
lookup,value_select,5,105.9563558,105.954968,0.02144341160356802,105.934606,105.98023,103.052713
lookup,l0,5,116.3022168,116.304755,0.012601753159776992,116.288966,116.314346,113.398574
lookup,l1,5,122.1681064,122.178948,0.05986659254792855,122.066573,122.223074,119.2644636
lookup,l2,5,127.4110008,127.415567,0.03984425313266783,127.351601,127.458132,124.507358
lookup,l3,5,127.9147388,127.933352,0.05304450664960565,127.827534,127.965356,125.011096
update,control,5,2.903565,2.90322,0.0008489240248691069,2.902807,2.904862,0.0
update,sched,5,4.6728482,4.671307,0.0030943412384547052,4.670862,4.678181,1.7692831999999998
update,key_copy,5,13.089084,13.098067,0.04588442975563686,13.010547,13.130494,10.185519
update,value_copy,5,21.4240216,21.422526,0.008084890184782744,21.41617,21.436008,18.5204566
update,hash_find,5,112.5839118,112.586738,0.06179620365119829,112.506565,112.662187,109.6803468
update,copy_existing,5,173.9345424,173.941303,0.048169699851668656,173.857548,173.990193,171.0309774
update,l0,5,181.8940734,181.885865,0.054497398408552986,181.833441,181.982739,178.9905084
update,l1,5,188.8366666,188.829619,0.02389739921622763,188.810168,188.862134,185.93310160000001
update,l2,5,198.8357362,198.831693,0.01923091094306845,198.815364,198.86267,195.93217120000003
update,l3,5,198.0251538,198.02549,0.01749782432760851,198.004334,198.042869,195.1215888
delete,control,5,3.0976,3.04,0.14906642814530702,3.008,3.36,0.0
delete,sched,5,4.9474,4.768,0.5152337333676824,4.608,5.856,1.8498
delete,key_copy,5,13.94,13.921,0.07017834423809102,13.857,14.049,10.8424
delete,hash_find,5,996.696,995.172,4.117076268421555,994.245,1004.005,993.5984000000001
delete,l0,5,973.8982,972.131,4.684647286616159,971.332,982.244,970.8006
delete,l1,5,919.6878,918.561,2.697730657422985,917.441,924.098,916.5902000000001
delete,l2,5,924.962,924.354,1.5932658284166183,923.458,927.618,921.8643999999999
delete,l3,5,933.3588,927.298,13.309983760320655,925.473,956.771,930.2611999999999
