environment,run,case,kind,raw_ns_per_invocation,empty_uprobe_ns_per_invocation,net_ns_per_helper
kernel,1,array_lookup,ordinary,3790.48192,1225.44,2.56504192
kernel,1,array_lookup,percpu,4410.52192,1225.44,3.18508192
kernel,1,array_update,ordinary,13090.9056,1225.44,11.8654656
kernel,1,array_update,percpu,16586.30496,1225.44,15.36086496
kernel,1,hash_lookup,ordinary,28874.99008,1225.44,27.64955008
kernel,1,hash_lookup,percpu,28980.09056,1225.44,27.75465056
kernel,1,hash_update,ordinary,94567.50208,1225.44,93.34206208
kernel,1,hash_update,percpu,67612.46048,1225.44,66.38702047999999
kernel,2,array_lookup,ordinary,3791.93088,1233.59776,2.55833312
kernel,2,array_lookup,percpu,4412.35488,1233.59776,3.1787571199999998
kernel,2,array_update,ordinary,13104.15456,1233.59776,11.870556800000001
kernel,2,array_update,percpu,16596.4672,1233.59776,15.362869439999999
kernel,2,hash_lookup,ordinary,29100.44608,1233.59776,27.866848320000003
kernel,2,hash_lookup,percpu,28919.7664,1233.59776,27.686168639999998
kernel,2,hash_update,ordinary,94511.456,1233.59776,93.27785824
kernel,2,hash_update,percpu,67572.87808,1233.59776,66.33928031999999
kernel,3,array_lookup,ordinary,3790.63136,1229.21408,2.5614172799999997
kernel,3,array_lookup,percpu,4408.03744,1229.21408,3.1788233600000004
kernel,3,array_update,ordinary,13084.70912,1229.21408,11.85549504
kernel,3,array_update,percpu,16605.08832,1229.21408,15.37587424
kernel,3,hash_lookup,ordinary,29095.61728,1229.21408,27.866403199999997
kernel,3,hash_lookup,percpu,28922.54848,1229.21408,27.6933344
kernel,3,hash_update,ordinary,94560.576,1229.21408,93.33136191999999
kernel,3,hash_update,percpu,68421.07616,1229.21408,67.19186207999999
kernel,4,array_lookup,ordinary,3800.43424,1227.49056,2.5729436800000003
kernel,4,array_lookup,percpu,4410.03552,1227.49056,3.18254496
kernel,4,array_update,ordinary,13069.58976,1227.49056,11.8420992
kernel,4,array_update,percpu,16561.41856,1227.49056,15.333927999999998
kernel,4,hash_lookup,ordinary,29035.31168,1227.49056,27.80782112
kernel,4,hash_lookup,percpu,28936.1808,1227.49056,27.70869024
kernel,4,hash_update,ordinary,94569.40256,1227.49056,93.341912
kernel,4,hash_update,percpu,67596.53312,1227.49056,66.36904255999998
kernel,5,array_lookup,ordinary,3800.2192,1237.02976,2.56318944
kernel,5,array_lookup,percpu,4408.952,1237.02976,3.1719222400000002
kernel,5,array_update,ordinary,13095.40128,1237.02976,11.85837152
kernel,5,array_update,percpu,16570.16608,1237.02976,15.33313632
kernel,5,hash_lookup,ordinary,28925.66592,1237.02976,27.688636159999998
kernel,5,hash_lookup,percpu,28913.32096,1237.02976,27.6762912
kernel,5,hash_update,ordinary,94579.01024,1237.02976,93.34198048
kernel,5,hash_update,percpu,67566.29344,1237.02976,66.32926367999998
bpftime,1,array_lookup,ordinary,13307.8608,375.88448,12.93197632
bpftime,1,array_lookup,percpu,22202.88416,375.88448,21.82699968
bpftime,1,array_update,ordinary,16900.70816,375.88448,16.524823679999997
bpftime,1,array_update,percpu,64303.33568,375.88448,63.92745119999999
bpftime,1,hash_lookup,ordinary,54984.10336,375.88448,54.60821888
bpftime,1,hash_lookup,percpu,148576.9104,375.88448,148.20102591999998
bpftime,1,hash_update,ordinary,52059.32672,375.88448,51.68344224
bpftime,1,hash_update,percpu,226843.84064,375.88448,226.46795616
bpftime,2,array_lookup,ordinary,13280.75616,379.50432,12.90125184
bpftime,2,array_lookup,percpu,21923.61632,379.50432,21.544112000000002
bpftime,2,array_update,ordinary,16804.9504,379.50432,16.42544608
bpftime,2,array_update,percpu,64339.51488,379.50432,63.96001056
bpftime,2,hash_lookup,ordinary,54751.78304,379.50432,54.372278720000004
bpftime,2,hash_lookup,percpu,148273.95296,379.50432,147.89444863999998
bpftime,2,hash_update,ordinary,52122.1632,379.50432,51.74265888
bpftime,2,hash_update,percpu,225818.37216,379.50432,225.43886784
bpftime,3,array_lookup,ordinary,13322.77792,376.5296,12.94624832
bpftime,3,array_lookup,percpu,22171.50176,376.5296,21.794972159999997
bpftime,3,array_update,ordinary,16903.58112,376.5296,16.527051519999997
bpftime,3,array_update,percpu,64475.35936,376.5296,64.09882976
bpftime,3,hash_lookup,ordinary,54932.8896,376.5296,54.55636
bpftime,3,hash_lookup,percpu,148643.24608,376.5296,148.26671648
bpftime,3,hash_update,ordinary,52023.74784,376.5296,51.64721824
bpftime,3,hash_update,percpu,226926.79584,376.5296,226.55026623999998
bpftime,4,array_lookup,ordinary,13175.21056,376.41376,12.7987968
bpftime,4,array_lookup,percpu,21851.0944,376.41376,21.474680640000003
bpftime,4,array_update,ordinary,16780.57152,376.41376,16.40415776
bpftime,4,array_update,percpu,64317.93312,376.41376,63.94151936
bpftime,4,hash_lookup,ordinary,55356.56128,376.41376,54.980147519999996
bpftime,4,hash_lookup,percpu,148227.75328,376.41376,147.85133952
bpftime,4,hash_update,ordinary,51898.29216,376.41376,51.52187839999999
bpftime,4,hash_update,percpu,225851.01664,376.41376,225.47460288
bpftime,5,array_lookup,ordinary,13214.30496,377.21184,12.837093119999999
bpftime,5,array_lookup,percpu,21818.61536,377.21184,21.44140352
bpftime,5,array_update,ordinary,16803.63584,377.21184,16.426424
bpftime,5,array_update,percpu,64154.816,377.21184,63.777604159999996
bpftime,5,hash_lookup,ordinary,55310.81152,377.21184,54.93359968
