mode,run,metric,net_per_helper
base,1,cycles,39.036353050
base,1,instructions,206.029196300
base,2,cycles,39.163951300
base,2,instructions,206.068366100
base,3,cycles,38.963528200
base,3,instructions,206.016832550
cache_control,1,cycles,45.035673200
cache_control,1,instructions,248.076273950
cache_control,2,cycles,44.924897750
cache_control,2,instructions,248.010456050
cache_control,3,cycles,44.942543200
cache_control,3,instructions,248.046286400
cached_handler,1,cycles,42.881060400
cached_handler,1,instructions,226.028582200
cached_handler,2,cycles,42.622705600
cached_handler,2,instructions,226.019025050
cached_handler,3,cycles,42.496542000
cached_handler,3,instructions,226.036072850
direct_map,1,cycles,33.557281050
direct_map,1,instructions,181.030279750
direct_map,2,cycles,34.387090500
direct_map,2,instructions,181.031365800
direct_map,3,cycles,34.646195950
direct_map,3,instructions,181.052326650
array_update_address_only,1,cycles,35.863298250
array_update_address_only,1,instructions,183.030771150
array_update_address_only,2,cycles,36.090356700
array_update_address_only,2,instructions,183.032546550
array_update_address_only,3,cycles,35.710871250
array_update_address_only,3,instructions,183.039029750
array_update_no_address,1,cycles,33.655821150
array_update_no_address,1,instructions,171.040268600
array_update_no_address,2,cycles,33.620651700
array_update_no_address,2,instructions,171.078094800
array_update_no_address,3,cycles,33.596126300
array_update_no_address,3,instructions,171.087231200
array_update_no_body,1,cycles,33.916391500
array_update_no_body,1,instructions,163.040890700
array_update_no_body,2,cycles,33.371916050
array_update_no_body,2,instructions,163.038412300
array_update_no_body,3,cycles,33.485352500
array_update_no_body,3,instructions,163.021802900
