mode,metric,mean,median,sample_sd,min,max
base,cycles,39.054610850,39.036353050,0.101451295,38.963528200,39.163951300
base,instructions,206.038131650,206.029196300,0.026903662,206.016832550,206.068366100
cache_control,cycles,44.967704717,44.942543200,0.059519967,44.924897750,45.035673200
cache_control,instructions,248.044338800,248.046286400,0.032952145,248.010456050,248.076273950
cached_handler,cycles,42.666769333,42.622705600,0.196009718,42.496542000,42.881060400
cached_handler,instructions,226.027893367,226.028582200,0.008544749,226.019025050,226.036072850
direct_map,cycles,34.196855833,34.387090500,0.568837267,33.557281050,34.646195950
direct_map,instructions,181.037990733,181.031365800,0.012427138,181.030279750,181.052326650
array_update_address_only,cycles,35.888175400,35.863298250,0.190961923,35.710871250,36.090356700
array_update_address_only,instructions,183.034115817,183.032546550,0.004347191,183.030771150,183.039029750
array_update_no_address,cycles,33.624199717,33.620651700,0.030005168,33.596126300,33.655821150
array_update_no_address,instructions,171.068531533,171.078094800,0.024899066,171.040268600,171.087231200
array_update_no_body,cycles,33.591220017,33.485352500,0.287261775,33.371916050,33.916391500
array_update_no_body,instructions,163.033701967,163.038412300,0.010379136,163.021802900,163.040890700
