# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 420  of event 'cycles:u'
# Event count (approx.): 704081681
#
# Overhead  Command          Shared Object              Symbol                                                                                                                                                                                                                                                                                  
# ........  ...............  .........................  ........................................................................................................................................................................................................................................................................................
#
    24.86%  helper-map-clos  libbpftime-agent.so        [.] bpftime::bpftime_shm::try_get_map_handler(int) const [clone .constprop.0]
    20.09%  helper-map-clos  libbpftime-agent.so        [.] bpftime::bpf_map_handler::map_update_elem(void const*, void const*, unsigned long, bool) const [clone .constprop.0]
    11.27%  helper-map-clos  libbpftime-agent.so        [.] bpftime_map_update_elem_helper
     3.92%  helper-map-clos  libbpftime-agent.so        [.] bpftime::array_map_impl::elem_update(void const*, void const*, unsigned long)
     3.89%  helper-map-clos  libc.so.6                  [.] malloc
     2.45%  helper-map-clos  libbpftime-agent.so        [.] std::_Function_handler<long (int), bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
     2.40%  helper-map-clos  libc.so.6                  [.] _int_free
     2.30%  helper-map-clos  libbpftime-agent.so        [.] bpftime::bpf_map_handler::map_lookup_elem(void const*, bool) const
     2.21%  helper-map-clos  libbpftime-agent.so        [.] bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)
     1.38%  helper-map-clos  libbpftime-agent.so        [.] llvm::PMTopLevelManager::setLastUser(llvm::ArrayRef<llvm::Pass*>, llvm::Pass*)
     0.98%  helper-map-clos  libbpftime-agent.so        [.] std::_Function_handler<void* (int), bpftime::per_cpu_array_map_impl::elem_lookup(void const*)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
     0.98%  helper-map-clos  [JIT] tid 793542           [.] 0x0000ffff868b2070
     0.98%  helper-map-clos  libbpftime-agent.so        [.] bpftime::per_cpu_array_map_impl::elem_lookup(void const*)
     0.98%  helper-map-clos  libc.so.6                  [.] cfree@GLIBC_2.17
     0.84%  helper-map-clos  libc.so.6                  [.] __memcpy_generic
     0.74%  helper-map-clos  [JIT] tid 793542           [.] 0x0000ffff868b2078
     0.74%  helper-map-clos  libc.so.6                  [.] sched_getcpu
     0.74%  helper-map-clos  [JIT] tid 793542           [.] 0x0000ffff868b202c
     0.69%  helper-map-clos  libc.so.6                  [.] _int_malloc
     0.52%  helper-map-clos  libbpftime-agent.so        [.] llvm::PMDataManager::add(llvm::Pass*, bool)
     0.49%  helper-map-clos  libbpftime-agent.so        [.] _gum_function_context_begin_invocation
     0.49%  helper-map-clos  libstdc++.so.6.0.33        [.] operator new(unsigned long)
