# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 461  of event 'cycles:u'
# Event count (approx.): 763972091
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  ...............  .....................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    20.48%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpftime_shm::try_get_map_handler(int) const [clone .constprop.0]
    20.33%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_update_elem(void const*, void const*, unsigned long, bool) const [clone .constprop.0]
     8.58%  helper-map-clos  libbpftime-agent.so    [.] bpftime_map_update_elem_helper
     7.00%  helper-map-clos  libbpftime-agent.so    [.] bpftime::array_map_impl::elem_update(void const*, void const*, unsigned long)
     3.37%  helper-map-clos  libc.so.6              [.] malloc
     3.16%  helper-map-clos  libc.so.6              [.] __memcpy_generic
     3.03%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_lookup_elem(void const*, bool) const
     2.48%  helper-map-clos  libbpftime-agent.so    [.] bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)
     1.81%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<long (int), bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
     1.58%  helper-map-clos  libc.so.6              [.] cfree@GLIBC_2.17
     1.35%  helper-map-clos  libc.so.6              [.] __memmove_generic
     1.27%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpftime_shm::bpf_map_lookup_elem(int, void const*, bool) const [clone .constprop.0]
     1.11%  helper-map-clos  libc.so.6              [.] _int_free
     0.90%  helper-map-clos  libbpftime-agent.so    [.] bpftime::per_cpu_array_map_impl::elem_lookup(void const*)
     0.90%  helper-map-clos  libbpftime-agent.so    [.] memmove@plt
     0.87%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::setLastUser(llvm::ArrayRef<llvm::Pass*>, llvm::Pass*)
     0.68%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<long (int), bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)::{lambda(int)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
     0.68%  helper-map-clos  libc.so.6              [.] sched_getcpu
     0.46%  helper-map-clos  ld-linux-aarch64.so.1  [.] _dl_relocate_object
     0.45%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff9904803c
     0.45%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<void* (int), bpftime::per_cpu_array_map_impl::elem_lookup(void const*)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
     0.45%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_base::~_Function_base()
     0.45%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff99048080
     0.45%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff99048038
     0.45%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff99048034
     0.42%  helper-map-clos  libc.so.6              [.] _int_malloc
     0.41%  helper-map-clos  libc.so.6              [.] __aarch64_swp4_rel
     0.41%  helper-map-clos  libc.so.6              [.] malloc_consolidate
     0.40%  helper-map-clos  libbpftime-agent.so    [.] llvm::filter_iterator_base<llvm::ConstMIBundleOperands, std::function<bool (llvm::MachineOperand const&)>, std::forward_iterator_tag>::operator++()
     0.38%  helper-map-clos  libc.so.6              [.] _IO_seekoff_unlocked
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::findAnalysisPass(void const*)
     0.23%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff99048044
     0.23%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff990420c8
     0.23%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff99046040
     0.23%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff99048040
     0.23%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff990421d0
     0.23%  helper-map-clos  libbpftime-agent.so    [.] spdlog::details::registry::instance()
     0.23%  helper-map-clos  libc.so.6              [.] __memset_zva64
     0.23%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff9904802c
     0.23%  helper-map-clos  libstdc++.so.6.0.33    [.] free@plt
     0.23%  helper-map-clos  libbpftime-agent.so    [.] operator new(unsigned long)@plt
     0.23%  helper-map-clos  libstdc++.so.6.0.33    [.] operator delete(void*)@plt
     0.23%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff9904603c
     0.23%  helper-map-clos  libbpftime-agent.so    [.] uprobe_listener_on_enter(_GumInvocationListener*, _GumInvocationContext*)
     0.22%  helper-map-clos  [JIT] tid 793526       [.] 0x0000ffff99042070
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::FoldingSetBase::RemoveNode(llvm::FoldingSetBase::Node*)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::AttributeList::hasAttributeAtIndex(unsigned int, llvm::Attribute::AttrKind) const
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::SetVector<llvm::SDNode*, llvm::SmallVector<llvm::SDNode*, 32u>, llvm::SmallDenseSet<llvm::SDNode*, 32u, llvm::DenseMapInfo<llvm::SDNode*, void> > >::insert(llvm::SDNode* const&)
     0.21%  helper-map-clos  libc.so.6              [.] __GI___memmem
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::findAnalysisUsage(llvm::Pass*)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::MachineRegisterInfo::insertVRegByName(llvm::StringRef, llvm::Register)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::LegalizeRuleSet::actionIf(llvm::LegalizeActions::LegalizeAction, std::function<bool (llvm::LegalityQuery const&)>, std::function<std::pair<unsigned int, llvm::LLT> (llvm::LegalityQuery const&)>)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::orc::JITDylib::resolve(llvm::orc::MaterializationResponsibility&, llvm::DenseMap<llvm::orc::SymbolStringPtr, llvm::JITEvaluatedSymbol, llvm::DenseMapInfo<llvm::orc::SymbolStringPtr, void>, llvm::detail::DenseMapPair<llvm::orc::SymbolStringPtr, llvm::JITEvaluatedSymbol> > const&)
