mode,run,net_ns_per_helper
base,1,22.533288000
base,2,22.563137600
base,3,22.644905600
base,4,22.508241600
base,5,22.534521600
cache_control,1,25.986689600
cache_control,2,26.021284800
cache_control,3,25.928417600
cache_control,4,26.040732800
cache_control,5,25.941689600
cached_handler,1,24.711232000
cached_handler,2,24.587747200
cached_handler,3,24.518040000
cached_handler,4,24.571992000
cached_handler,5,24.637699200
direct_map,1,19.682835200
direct_map,2,19.677462400
direct_map,3,19.683396800
direct_map,4,19.729051200
direct_map,5,19.643316800
array_update_address_only,1,20.730568000
array_update_address_only,2,20.673972800
array_update_address_only,3,20.830214400
array_update_address_only,4,20.698609600
array_update_address_only,5,20.731102400
array_update_no_address,1,19.385748800
array_update_no_address,2,19.382544000
array_update_no_address,3,19.429992000
array_update_no_address,4,19.403030400
array_update_no_address,5,19.422040000
array_update_no_body,1,19.371104000
array_update_no_body,2,19.542004800
array_update_no_body,3,19.411569600
array_update_no_body,4,19.356550400
array_update_no_body,5,19.374043200
