operation,component,metric,mean_effect,share_of_body_or_find_percent
percpu_hash_update,key_assign_over_memcpy,ns/helper,7.396304320,
percpu_hash_update,value_assign_over_memcpy,ns/helper,7.441412800,
percpu_hash_update,destination_value_copy,ns/helper,57.010793920,
percpu_hash_update,complete_find,ns/helper,125.584606080,
percpu_hash_update,hash_leaf,ns/helper,13.399105920,10.669386
percpu_hash_update,equality_leaf,ns/helper,25.730307840,20.488425
percpu_hash_update,hash_equality_interaction,ns/helper,0.114904320,0.091496
percpu_hash_update,container_remainder,ns/helper,86.340288000,68.750694
percpu_hash_update,key_assign_over_memcpy,cycles/helper,11.297041934,
percpu_hash_update,value_assign_over_memcpy,cycles/helper,13.303518184,
percpu_hash_update,destination_value_copy,cycles/helper,98.648971100,
percpu_hash_update,complete_find,cycles/helper,215.133776584,
percpu_hash_update,hash_leaf,cycles/helper,22.012934100,10.232207
percpu_hash_update,equality_leaf,cycles/helper,42.733029717,19.863468
percpu_hash_update,hash_equality_interaction,cycles/helper,1.354323217,0.629526
percpu_hash_update,container_remainder,cycles/helper,149.033489550,69.274798
percpu_hash_update,key_assign_over_memcpy,instructions/helper,48.835601333,
percpu_hash_update,value_assign_over_memcpy,instructions/helper,47.851421250,
percpu_hash_update,destination_value_copy,instructions/helper,371.908498467,
percpu_hash_update,complete_find,instructions/helper,604.980032516,
percpu_hash_update,hash_leaf,instructions/helper,46.005641483,7.604489
percpu_hash_update,equality_leaf,instructions/helper,180.945451600,29.909326
percpu_hash_update,hash_equality_interaction,instructions/helper,-0.194865183,-0.032210
percpu_hash_update,container_remainder,instructions/helper,378.223804616,62.518395
percpu_array_update,complete_concrete_body,ns/helper,53.970194880,
percpu_array_update,std_function_wrapper,ns/helper,45.559021760,84.415151
percpu_array_update,value_copy,ns/helper,1.568181760,2.905644
percpu_array_update,cpu_selection,ns/helper,3.471586240,6.432414
percpu_array_update,address_calculation,ns/helper,1.787595200,3.312190
percpu_array_update,checks_remainder,ns/helper,1.583809920,2.934601
percpu_array_update,complete_concrete_body,cycles/helper,92.628134183,
percpu_array_update,std_function_wrapper,cycles/helper,77.911739233,84.112392
percpu_array_update,value_copy,cycles/helper,3.081979684,3.327261
percpu_array_update,cpu_selection,cycles/helper,5.715255166,6.170107
percpu_array_update,address_calculation,cycles/helper,3.156540734,3.407756
percpu_array_update,checks_remainder,cycles/helper,2.762619366,2.982484
percpu_array_update,complete_concrete_body,instructions/helper,335.035308616,
percpu_array_update,std_function_wrapper,instructions/helper,247.055173783,73.740041
percpu_array_update,value_copy,instructions/helper,25.000086217,7.461926
percpu_array_update,cpu_selection,instructions/helper,23.030292333,6.873990
percpu_array_update,address_calculation,instructions/helper,17.991410300,5.370004
percpu_array_update,checks_remainder,instructions/helper,21.958345983,6.554039
percpu_array_lookup,complete_concrete_body,ns/helper,9.691343680,
percpu_array_lookup,std_function_wrapper,ns/helper,4.669453120,48.181689
percpu_array_lookup,cpu_selection,ns/helper,2.682460800,27.678936
percpu_array_lookup,address_calculation,ns/helper,1.062530240,10.963704
percpu_array_lookup,checks_remainder,ns/helper,1.276899520,13.175671
percpu_array_lookup,complete_concrete_body,cycles/helper,16.782523550,
percpu_array_lookup,std_function_wrapper,cycles/helper,8.012340666,47.742168
percpu_array_lookup,cpu_selection,cycles/helper,4.515039900,26.903224
percpu_array_lookup,address_calculation,cycles/helper,2.341491717,13.951964
percpu_array_lookup,checks_remainder,cycles/helper,1.913651267,11.402643
percpu_array_lookup,complete_concrete_body,instructions/helper,82.976599883,
percpu_array_lookup,std_function_wrapper,instructions/helper,30.950410617,37.300167
percpu_array_lookup,cpu_selection,instructions/helper,25.995629316,31.328868
percpu_array_lookup,address_calculation,instructions/helper,12.020067284,14.486093
percpu_array_lookup,checks_remainder,instructions/helper,14.010492666,16.884872
array_update,complete_concrete_body,ns/helper,3.145764480,
array_update,value_copy,ns/helper,1.823925440,57.980356
array_update,address_calculation,ns/helper,1.328222400,42.222563
array_update,checks_remainder,ns/helper,-0.006383360,-0.202919
array_update,complete_concrete_body,cycles/helper,5.463390833,
array_update,value_copy,cycles/helper,3.166435450,57.957330
array_update,address_calculation,cycles/helper,2.263975683,41.439021
array_update,checks_remainder,cycles/helper,0.032979700,0.603649
array_update,complete_concrete_body,instructions/helper,43.004429683,
array_update,value_copy,instructions/helper,23.004015833,53.492201
array_update,address_calculation,instructions/helper,11.965584284,27.824074
array_update,checks_remainder,instructions/helper,8.034829566,18.683725
array_update,shm_fd_variant_lookup,ns/helper,1.378420800,
array_update,generic_handler_dispatch,ns/helper,4.922129600,
array_update,shm_fd_variant_lookup,cycles/helper,2.300935384,
array_update,generic_handler_dispatch,cycles/helper,8.469913500,
array_update,shm_fd_variant_lookup,instructions/helper,22.016445433,
array_update,generic_handler_dispatch,instructions/helper,44.989902634,
