mode,run,metric,net_per_helper
base,1,cycles,46.601174300
base,1,instructions,244.000912400
base,2,cycles,46.552258900
base,2,instructions,244.028193250
base,3,cycles,46.633524700
base,3,instructions,244.012784550
percpu_array_direct,1,cycles,38.495531950
percpu_array_direct,1,instructions,213.068237100
percpu_array_direct,2,cycles,38.727189650
percpu_array_direct,2,instructions,213.063323650
percpu_array_direct,3,cycles,38.527214300
percpu_array_direct,3,instructions,213.059097600
percpu_array_fixed_cpu,1,cycles,34.095663300
percpu_array_fixed_cpu,1,instructions,187.068038050
percpu_array_fixed_cpu,2,cycles,33.925950550
percpu_array_fixed_cpu,2,instructions,187.068075850
percpu_array_fixed_cpu,3,cycles,34.183202350
percpu_array_fixed_cpu,3,instructions,187.067656500
percpu_array_lookup_no_address,1,cycles,36.163659150
percpu_array_lookup_no_address,1,instructions,201.078250600
percpu_array_lookup_no_address,2,cycles,35.794841900
percpu_array_lookup_no_address,2,instructions,201.049438300
percpu_array_lookup_no_address,3,cycles,36.042346500
percpu_array_lookup_no_address,3,instructions,201.046357750
percpu_array_lookup_fixed_cpu_no_address,1,cycles,31.826788450
percpu_array_lookup_fixed_cpu_no_address,1,instructions,175.065617600
percpu_array_lookup_fixed_cpu_no_address,2,cycles,31.781990300
percpu_array_lookup_fixed_cpu_no_address,2,instructions,175.089243250
percpu_array_lookup_fixed_cpu_no_address,3,cycles,31.571562300
percpu_array_lookup_fixed_cpu_no_address,3,instructions,174.988707700
percpu_array_lookup_no_body,1,cycles,29.747438750
percpu_array_lookup_no_body,1,instructions,161.025563350
percpu_array_lookup_no_body,2,cycles,29.861758350
percpu_array_lookup_no_body,2,instructions,161.036148200
percpu_array_lookup_no_body,3,cycles,29.830190150
percpu_array_lookup_no_body,3,instructions,161.050379000
