mode,metric,mean,median,sample_sd,min,max
base,cycles,46.595652633,46.601174300,0.040913313,46.552258900,46.633524700
base,instructions,244.013963400,244.012784550,0.013678577,244.000912400,244.028193250
percpu_array_direct,cycles,38.583311967,38.527214300,0.125604672,38.495531950,38.727189650
percpu_array_direct,instructions,213.063552783,213.063323650,0.004574056,213.059097600,213.068237100
percpu_array_fixed_cpu,cycles,34.068272067,34.095663300,0.130795000,33.925950550,34.183202350
percpu_array_fixed_cpu,instructions,187.067923467,187.068038050,0.000231971,187.067656500,187.068075850
percpu_array_lookup_no_address,cycles,36.000282517,36.042346500,0.187972272,35.794841900,36.163659150
percpu_array_lookup_no_address,instructions,201.058015550,201.049438300,0.017591628,201.046357750,201.078250600
percpu_array_lookup_fixed_cpu_no_address,cycles,31.726780350,31.781990300,0.136276193,31.571562300,31.826788450
percpu_array_lookup_fixed_cpu_no_address,instructions,175.047856183,175.065617600,0.052568528,174.988707700,175.089243250
percpu_array_lookup_no_body,cycles,29.813129083,29.830190150,0.059038570,29.747438750,29.861758350
percpu_array_lookup_no_body,instructions,161.037363517,161.036148200,0.012452384,161.025563350,161.050379000
