# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 511  of event 'cycles:u'
# Event count (approx.): 845476145
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  .....................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    20.34%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpftime_shm::try_get_map_handler(int) const [clone .constprop.0]
    12.78%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_lookup_elem(void const*, bool) const
     8.78%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<void* (int), bpftime::per_cpu_array_map_impl::elem_lookup(void const*)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
     8.29%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpftime_shm::bpf_map_lookup_elem(int, void const*, bool) const [clone .constprop.0]
     7.76%  helper-map-clos  libbpftime-agent.so    [.] bpftime::per_cpu_array_map_impl::elem_lookup(void const*)
     4.69%  helper-map-clos  libc.so.6              [.] sched_getcpu
     3.21%  helper-map-clos  libc.so.6              [.] _int_free
     2.85%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_update_elem(void const*, void const*, unsigned long, bool) const [clone .constprop.0]
     2.04%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<long (int), bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
     2.04%  helper-map-clos  libbpftime-agent.so    [.] bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)
     1.43%  helper-map-clos  libc.so.6              [.] malloc
     1.20%  helper-map-clos  libc.so.6              [.] cfree@GLIBC_2.17
     1.02%  helper-map-clos  libbpftime-agent.so    [.] sched_getcpu@plt
     0.82%  helper-map-clos  libbpftime-agent.so    [.] bpftime_map_update_elem_helper
     0.82%  helper-map-clos  libbpftime-agent.so    [.] bpftime::array_map_impl::elem_update(void const*, void const*, unsigned long)
     0.61%  helper-map-clos  [JIT] tid 793383       [.] 0x0000ffffab78f02c
     0.61%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<long (int), bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)::{lambda(int)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
     0.61%  helper-map-clos  [JIT] tid 793383       [.] 0x0000ffffab78f040
     0.61%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_base::~_Function_base()
     0.53%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::setLastUser(llvm::ArrayRef<llvm::Pass*>, llvm::Pass*)
     0.41%  helper-map-clos  libbpftime-agent.so    [.] bpftime_map_lookup_elem_helper
     0.41%  helper-map-clos  [JIT] tid 793383       [.] 0x0000ffffab78f030
     0.41%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<void* (int), bpftime::per_cpu_array_map_impl::elem_lookup(void const*)::{lambda(int)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
