# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 407  of event 'cycles:u'
# Event count (approx.): 665404191
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    21.64%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpftime_shm::try_get_map_handler(int) const [clone .constprop.0]
    20.57%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_lookup_elem(void const*, bool) const
     6.74%  helper-map-clos  libbpftime-agent.so    [.] bpftime::per_cpu_array_map_impl::elem_lookup(void const*)
     6.74%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpftime_shm::bpf_map_lookup_elem(int, void const*, bool) const [clone .constprop.0]
     4.92%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_update_elem(void const*, void const*, unsigned long, bool) const [clone .constprop.0]
     3.37%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<long (int), bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
     2.59%  helper-map-clos  libbpftime-agent.so    [.] bpftime_map_update_elem_helper
     2.26%  helper-map-clos  libc.so.6              [.] _int_free
     1.82%  helper-map-clos  libc.so.6              [.] cfree@GLIBC_2.17
     1.56%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<long (int), bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)::{lambda(int)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
     1.54%  helper-map-clos  libc.so.6              [.] malloc
     1.04%  helper-map-clos  libc.so.6              [.] sched_getcpu
     1.04%  helper-map-clos  libbpftime-agent.so    [.] bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)
     0.78%  helper-map-clos  libc.so.6              [.] __memcpy_generic
     0.72%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::setLastUser(llvm::ArrayRef<llvm::Pass*>, llvm::Pass*)
     0.69%  helper-map-clos  libc.so.6              [.] _int_malloc
     0.66%  helper-map-clos  libbpftime-agent.so    [.] llvm::PassRegistry::enumerateWith(llvm::PassRegistrationListener*)
     0.52%  helper-map-clos  libbpftime-agent.so    [.] _gum_function_context_begin_invocation
     0.52%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe88b020
     0.52%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_base::~_Function_base()
     0.47%  helper-map-clos  libbpftime-agent.so    [.] (anonymous namespace)::GetCFGOnlyPasses::passEnumerate(llvm::PassInfo const*)
     0.46%  helper-map-clos  libbpftime-agent.so    [.] llvm::PassRegistry::getPassInfo(void const*) const
     0.37%  helper-map-clos  ld-linux-aarch64.so.1  [.] _dl_relocate_object
     0.35%  helper-map-clos  libbpftime-agent.so    [.] llvm::cl::opt<unsigned int, false, llvm::cl::parser<unsigned int> >::opt<char [20], llvm::cl::initializer<int>, llvm::cl::OptionHidden>(char const (&) [20], llvm::cl::initializer<int> const&, llvm::cl::OptionHidden const&)
     0.29%  helper-map-clos  libbpftime-agent.so    [.] _frida_g_type_class_ref
     0.26%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe887158
     0.26%  helper-map-clos  libbpftime-agent.so    [.] _gum_function_context_end_invocation
     0.26%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe88b054
     0.26%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe88b03c
     0.26%  helper-map-clos  libstdc++.so.6.0.33    [.] operator delete(void*)@plt
     0.26%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe88b02c
     0.26%  helper-map-clos  libbpftime-agent.so    [.] uprobe_listener_on_enter(_GumInvocationListener*, _GumInvocationContext*)
     0.26%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe88b028
     0.26%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe88b060
     0.26%  helper-map-clos  libc.so.6              [.] __memmove_generic
     0.26%  helper-map-clos  libbpftime-agent.so    [.] sched_getcpu@plt
     0.26%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe889080
     0.26%  helper-map-clos  libbpftime-agent.so    [.] bpftime::array_map_impl::elem_update(void const*, void const*, unsigned long)
     0.26%  helper-map-clos  libbpftime-agent.so    [.] memmove@plt
     0.25%  helper-map-clos  libbpftime-agent.so    [.] std::back_insert_iterator<std::vector<llvm::MachineBasicBlock const*, std::allocator<llvm::MachineBasicBlock const*> > > std::__copy_move_a<false, llvm::po_iterator<llvm::MachineBasicBlock const*, llvm::SmallPtrSet<llvm::MachineBasicBlock const*, 8u>, false, llvm::GraphTraits<llvm::MachineBasicBlock const*> >, std::back_insert_iterator<std::vector<llvm::MachineBasicBlock const*, std::allocator<llvm::MachineBasicBlock const*> > > >(llvm::po_iterator<llvm::MachineBasicBlock const*, llvm::SmallPtrSet<llvm::MachineBasicBlock const*, 8u>, false, llvm::GraphTraits<llvm::MachineBasicBlock const*> >, llvm::po_iterator<llvm::MachineBasicBlock const*, llvm::SmallPtrSet<llvm::MachineBasicBlock const*, 8u>, false, llvm::GraphTraits<llvm::MachineBasicBlock const*> >, std::back_insert_iterator<std::vector<llvm::MachineBasicBlock const*, std::allocator<llvm::MachineBasicBlock const*> > >)
     0.25%  helper-map-clos  libbpftime-agent.so    [.] (anonymous namespace)::MachineLICMBase::InitRegPressure(llvm::MachineBasicBlock*)
     0.25%  helper-map-clos  libbpftime-agent.so    [.] llvm::MachineInstr::isSafeToMove(llvm::AAResults*, bool&) const
     0.25%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::findAnalysisPass(void const*)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::SetVector<llvm::SDNode*, llvm::SmallVector<llvm::SDNode*, 32u>, llvm::SmallDenseSet<llvm::SDNode*, 32u, llvm::DenseMapInfo<llvm::SDNode*, void> > >::insert(llvm::SDNode* const&)
     0.24%  helper-map-clos  libc.so.6              [.] __aarch64_swp4_rel
     0.24%  helper-map-clos  libbpftime-agent.so    [.] (anonymous namespace)::LSRInstance::SolveRecurse(llvm::SmallVectorImpl<(anonymous namespace)::Formula const*>&, (anonymous namespace)::Cost&, llvm::SmallVectorImpl<(anonymous namespace)::Formula const*>&, (anonymous namespace)::Cost const&, llvm::SmallPtrSet<llvm::SCEV const*, 16u> const&, llvm::DenseSet<llvm::SCEV const*, llvm::DenseMapInfo<llvm::SCEV const*, void> >&) const
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::LiveRange::find(llvm::SlotIndex)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::ScalarEvolution::isKnownPredicateViaConstantRanges(llvm::CmpInst::Predicate, llvm::SCEV const*, llvm::SCEV const*)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_attach_ctx::instantiate_handler_at(bpftime::handler_manager const*, int, std::set<int, std::less<int>, std::allocator<int> >&, bpftime::agent_config const&, bool) [clone .constprop.0] [clone .isra.0]
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::MCBinaryExpr::create(llvm::MCBinaryExpr::Opcode, llvm::MCExpr const*, llvm::MCExpr const*, llvm::MCContext&, llvm::SMLoc)
     0.24%  helper-map-clos  libc.so.6              [.] __GI___memmem
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMDataManager::add(llvm::Pass*, bool)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] SinkCast(llvm::CastInst*)
