mode,run,net_ns_per_helper
base,1,27.033609600
base,2,26.742792000
base,3,27.001547200
base,4,26.715531200
base,5,27.700584000
percpu_array_direct,1,22.284488000
percpu_array_direct,2,22.307398400
percpu_array_direct,3,22.411187200
percpu_array_direct,4,22.386278400
percpu_array_direct,5,22.457446400
percpu_array_fixed_cpu,1,19.618116800
percpu_array_fixed_cpu,2,19.773582400
percpu_array_fixed_cpu,3,19.701235200
percpu_array_fixed_cpu,4,19.726899200
percpu_array_fixed_cpu,5,19.614660800
percpu_array_lookup_no_address,1,20.752734400
percpu_array_lookup_no_address,2,20.809318400
percpu_array_lookup_no_address,3,20.838779200
percpu_array_lookup_no_address,4,20.984270400
percpu_array_lookup_no_address,5,21.049027200
percpu_array_lookup_fixed_cpu_no_address,1,18.550740800
percpu_array_lookup_fixed_cpu_no_address,2,18.392208000
percpu_array_lookup_fixed_cpu_no_address,3,19.229745600
percpu_array_lookup_fixed_cpu_no_address,4,18.396830400
percpu_array_lookup_fixed_cpu_no_address,5,18.552318400
percpu_array_lookup_no_body,1,17.483912000
percpu_array_lookup_no_body,2,17.419560000
percpu_array_lookup_no_body,3,17.175022400
percpu_array_lookup_no_body,4,17.471158400
percpu_array_lookup_no_body,5,17.187692800
