mode,run,metric,net_per_helper
base,1,cycles,126.149362150
base,1,instructions,510.125178300
base,2,cycles,125.930385900
base,2,instructions,510.100949750
base,3,cycles,127.019027900
base,3,instructions,510.127910150
percpu_array_direct,1,cycles,48.798739000
percpu_array_direct,1,instructions,263.090998000
percpu_array_direct,2,cycles,48.344453200
percpu_array_direct,2,instructions,263.047537500
percpu_array_direct,3,cycles,48.220366050
percpu_array_direct,3,instructions,263.049981350
percpu_array_fixed_cpu,1,cycles,42.822187000
percpu_array_fixed_cpu,1,instructions,237.048197100
percpu_array_fixed_cpu,2,cycles,42.839684250
percpu_array_fixed_cpu,2,instructions,237.057403900
percpu_array_fixed_cpu,3,cycles,42.864139950
percpu_array_fixed_cpu,3,instructions,237.064946000
percpu_array_update_address_only,1,cycles,45.265224000
percpu_array_update_address_only,1,instructions,238.067506000
percpu_array_update_address_only,2,cycles,45.546412750
percpu_array_update_address_only,2,instructions,238.053554400
percpu_array_update_address_only,3,cycles,45.305982450
percpu_array_update_address_only,3,instructions,238.067197800
percpu_array_update_fixed_cpu_address_only,1,cycles,39.601973950
percpu_array_update_fixed_cpu_address_only,1,instructions,215.014462450
percpu_array_update_fixed_cpu_address_only,2,cycles,39.758748450
percpu_array_update_fixed_cpu_address_only,2,instructions,215.020560200
percpu_array_update_fixed_cpu_address_only,3,cycles,39.611131300
percpu_array_update_fixed_cpu_address_only,3,instructions,215.062358550
percpu_array_update_no_address,1,cycles,41.986049650
percpu_array_update_no_address,1,instructions,224.057185600
percpu_array_update_no_address,2,cycles,41.605969950
percpu_array_update_no_address,2,instructions,224.032915100
percpu_array_update_no_address,3,cycles,41.920384950
percpu_array_update_no_address,3,instructions,224.090550800
percpu_array_update_fixed_cpu_no_address,1,cycles,36.554398200
percpu_array_update_fixed_cpu_no_address,1,instructions,197.043512550
percpu_array_update_fixed_cpu_no_address,2,cycles,36.459862750
percpu_array_update_fixed_cpu_no_address,2,instructions,197.025352850
percpu_array_update_fixed_cpu_no_address,3,cycles,36.487970550
percpu_array_update_fixed_cpu_no_address,3,instructions,197.054284900
percpu_array_update_no_body,1,cycles,33.610249450
percpu_array_update_no_body,1,instructions,175.074056850
percpu_array_update_no_body,2,cycles,33.904033700
percpu_array_update_no_body,2,instructions,175.088103100
percpu_array_update_no_body,3,cycles,33.700090250
percpu_array_update_no_body,3,instructions,175.085952400
