mode,metric,mean,median,sample_sd,min,max
base,cycles,126.366258650,126.149362150,0.575819781,125.930385900,127.019027900
base,instructions,510.118012733,510.125178300,0.014839973,510.100949750,510.127910150
percpu_array_direct,cycles,48.454519417,48.344453200,0.304490963,48.220366050,48.798739000
percpu_array_direct,instructions,263.062838950,263.049981350,0.024417047,263.047537500,263.090998000
percpu_array_fixed_cpu,cycles,42.842003733,42.839684250,0.021072435,42.822187000,42.864139950
percpu_array_fixed_cpu,instructions,237.056849000,237.057403900,0.008388227,237.048197100,237.064946000
percpu_array_update_address_only,cycles,45.372539733,45.305982450,0.151951250,45.265224000,45.546412750
percpu_array_update_address_only,instructions,238.062752733,238.067197800,0.007967481,238.053554400,238.067506000
percpu_array_update_fixed_cpu_address_only,cycles,39.657284567,39.611131300,0.087989511,39.601973950,39.758748450
percpu_array_update_fixed_cpu_address_only,instructions,215.032460400,215.020560200,0.026071444,215.014462450,215.062358550
percpu_array_update_no_address,cycles,41.837468183,41.920384950,0.203153974,41.605969950,41.986049650
percpu_array_update_no_address,instructions,224.060217167,224.057185600,0.028937195,224.032915100,224.090550800
percpu_array_update_fixed_cpu_no_address,cycles,36.500743833,36.487970550,0.048544880,36.459862750,36.554398200
percpu_array_update_fixed_cpu_no_address,instructions,197.041050100,197.043512550,0.014622367,197.025352850,197.054284900
percpu_array_update_no_body,cycles,33.738124467,33.700090250,0.150539854,33.610249450,33.904033700
percpu_array_update_no_body,instructions,175.082704117,175.085952400,0.007565566,175.074056850,175.088103100
