# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 969  of event 'cycles:u'
# Event count (approx.): 1634434690
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  .....................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    12.10%  helper-map-clos  libc.so.6              [.] malloc
    11.90%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpftime_shm::try_get_map_handler(int) const [clone .constprop.0]
    10.34%  helper-map-clos  libbpftime-agent.so    [.] bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)
    10.12%  helper-map-clos  libc.so.6              [.] _int_free
     8.97%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_update_elem(void const*, void const*, unsigned long, bool) const [clone .constprop.0]
     7.71%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<long (int), bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
     7.27%  helper-map-clos  libc.so.6              [.] cfree@GLIBC_2.17
     5.48%  helper-map-clos  libbpftime-agent.so    [.] bpftime_map_update_elem_helper
     3.69%  helper-map-clos  libc.so.6              [.] sched_getcpu
     1.79%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<long (int), bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)::{lambda(int)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
     1.69%  helper-map-clos  libc.so.6              [.] __memcpy_generic
     1.38%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_lookup_elem(void const*, bool) const
     1.37%  helper-map-clos  libstdc++.so.6.0.33    [.] operator new(unsigned long)
     1.36%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_base::~_Function_base()
     0.63%  helper-map-clos  libc.so.6              [.] __memmove_generic
     0.63%  helper-map-clos  libstdc++.so.6.0.33    [.] free@plt
     0.60%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpftime_shm::bpf_map_lookup_elem(int, void const*, bool) const [clone .constprop.0]
     0.57%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::setLastUser(llvm::ArrayRef<llvm::Pass*>, llvm::Pass*)
     0.53%  helper-map-clos  libstdc++.so.6.0.33    [.] malloc@plt
     0.42%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<void* (int), bpftime::per_cpu_array_map_impl::elem_lookup(void const*)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
     0.42%  helper-map-clos  libbpftime-agent.so    [.] sched_getcpu@plt
     0.42%  helper-map-clos  libbpftime-agent.so    [.] memmove@plt
     0.42%  helper-map-clos  libbpftime-agent.so    [.] bpftime::per_cpu_array_map_impl::elem_lookup(void const*)
     0.42%  helper-map-clos  libbpftime-agent.so    [.] bpftime::array_map_impl::elem_update(void const*, void const*, unsigned long)
     0.32%  helper-map-clos  [JIT] tid 793249       [.] 0x0000ffffb36f902c
     0.32%  helper-map-clos  [JIT] tid 793249       [.] 0x0000ffffb36f9038
     0.32%  helper-map-clos  libstdc++.so.6.0.33    [.] operator delete(void*, unsigned long)
     0.32%  helper-map-clos  libbpftime-agent.so    [.] operator new(unsigned long)@plt
     0.21%  helper-map-clos  [JIT] tid 793249       [.] 0x0000ffffb36f9070
     0.21%  helper-map-clos  libstdc++.so.6.0.33    [.] operator delete(void*)@plt
     0.21%  helper-map-clos  [JIT] tid 793249       [.] 0x0000ffffb36f904c


#
# (Cannot load tips.txt file, please install perf!)
#
