# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 379  of event 'cycles:u'
# Event count (approx.): 616778298
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  .....................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    28.72%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpftime_shm::try_get_map_handler(int) const [clone .constprop.0]
    18.18%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_update_elem(void const*, void const*, unsigned long, bool) const [clone .constprop.0]
    11.75%  helper-map-clos  libbpftime-agent.so    [.] bpftime::per_cpu_array_map_impl::elem_update(void const*, void const*, unsigned long)
     7.27%  helper-map-clos  libbpftime-agent.so    [.] bpftime_map_update_elem_helper
     2.86%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_lookup_elem(void const*, bool) const
     2.24%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpftime_shm::bpf_map_lookup_elem(int, void const*, bool) const [clone .constprop.0]
     1.96%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<void* (int), bpftime::per_cpu_array_map_impl::elem_lookup(void const*)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
     1.27%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::setLastUser(llvm::ArrayRef<llvm::Pass*>, llvm::Pass*)
     1.12%  helper-map-clos  libc.so.6              [.] sched_getcpu
     0.98%  helper-map-clos  libc.so.6              [.] malloc_consolidate
     0.88%  helper-map-clos  libc.so.6              [.] _int_malloc
     0.84%  helper-map-clos  [JIT] tid 793266       [.] 0x0000ffffa6e8f07c
     0.84%  helper-map-clos  libc.so.6              [.] __memcpy_generic
     0.65%  helper-map-clos  libbpftime-agent.so    [.] llvm::PassRegistry::enumerateWith(llvm::PassRegistrationListener*)
     0.56%  helper-map-clos  [JIT] tid 793266       [.] 0x0000ffffa6e8f04c
     0.56%  helper-map-clos  libbpftime-agent.so    [.] bpftime::per_cpu_array_map_impl::elem_lookup(void const*)
     0.56%  helper-map-clos  libbpftime-agent.so    [.] bpftime::array_map_impl::elem_update(void const*, void const*, unsigned long)
     0.52%  helper-map-clos  libbpftime-agent.so    [.] llvm::Value::getName() const
     0.52%  helper-map-clos  libc.so.6              [.] __vfscanf_internal
     0.51%  helper-map-clos  libbpftime-agent.so    [.] (anonymous namespace)::GetCFGOnlyPasses::passEnumerate(llvm::PassInfo const*)
     0.47%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMDataManager::removeNotPreservedAnalysis(llvm::Pass*)
     0.46%  helper-map-clos  [JIT] tid 793266       [.] 0x0000ffffad6af004
     0.38%  helper-map-clos  [unknown]              [k] 0xffffc445e5e4c7f4
     0.30%  helper-map-clos  libbpftime-agent.so    [.] spdlog::details::S_formatter<spdlog::details::null_scoped_padder>::format(spdlog::details::log_msg const&, tm const&, fmt::v11::basic_memory_buffer<char, 250ul, fmt::v11::detail::allocator<char> >&)
     0.28%  helper-map-clos  [JIT] tid 793266       [.] 0x0000ffffa6e8f044
     0.28%  helper-map-clos  libbpftime-agent.so    [.] _gum_function_context_begin_invocation
     0.28%  helper-map-clos  libbpftime-agent.so    [.] uprobe_listener_on_leave(_GumInvocationListener*, _GumInvocationContext*)
     0.28%  helper-map-clos  [JIT] tid 793266       [.] 0x0000ffffad682068
     0.28%  helper-map-clos  [JIT] tid 793266       [.] 0x0000ffffa6e8f040
     0.28%  helper-map-clos  [JIT] tid 793266       [.] 0x0000ffffa6cbf174
     0.28%  helper-map-clos  libc.so.6              [.] __memset_zva64
     0.28%  helper-map-clos  libbpftime-agent.so    [.] memmove@plt
     0.27%  helper-map-clos  [JIT] tid 793266       [.] 0x0000ffffad686030
     0.27%  helper-map-clos  libbpftime-agent.so    [.] llvm::BlockFrequencyInfoImplBase::addToDist(llvm::BlockFrequencyInfoImplBase::Distribution&, llvm::BlockFrequencyInfoImplBase::LoopData const*, llvm::BlockFrequencyInfoImplBase::BlockNode const&, llvm::BlockFrequencyInfoImplBase::BlockNode const&, unsigned long)
     0.27%  helper-map-clos  libbpftime-agent.so    [.] llvm::detail::DenseMapPair<llvm::SDNode const*, llvm::SelectionDAG::CallSiteDbgInfo>* llvm::DenseMapBase<llvm::DenseMap<llvm::SDNode const*, llvm::SelectionDAG::CallSiteDbgInfo, llvm::DenseMapInfo<llvm::SDNode const*, void>, llvm::detail::DenseMapPair<llvm::SDNode const*, llvm::SelectionDAG::CallSiteDbgInfo> >, llvm::SDNode const*, llvm::SelectionDAG::CallSiteDbgInfo, llvm::DenseMapInfo<llvm::SDNode const*, void>, llvm::detail::DenseMapPair<llvm::SDNode const*, llvm::SelectionDAG::CallSiteDbgInfo> >::InsertIntoBucket<llvm::SDNode const* const&>(llvm::detail::DenseMapPair<llvm::SDNode const*, llvm::SelectionDAG::CallSiteDbgInfo>*, llvm::SDNode const* const&)
     0.26%  helper-map-clos  libc.so.6              [.] unlink_chunk.isra.0
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::getTimeTraceProfilerInstance()
     0.26%  helper-map-clos  libc.so.6              [.] __GI___memmem
