mode,run,net_ns_per_helper
base,1,73.223580800
base,2,74.020464000
base,3,72.816606400
base,4,74.158784000
base,5,73.602921600
percpu_array_direct,1,27.972169600
percpu_array_direct,2,28.005665600
percpu_array_direct,3,28.084780800
percpu_array_direct,4,27.976902400
percpu_array_direct,5,27.987729600
percpu_array_fixed_cpu,1,24.815884800
percpu_array_fixed_cpu,2,24.786008000
percpu_array_fixed_cpu,3,24.913075200
percpu_array_fixed_cpu,4,24.901934400
percpu_array_fixed_cpu,5,24.805726400
percpu_array_update_address_only,1,27.046484800
percpu_array_update_address_only,2,26.176388800
percpu_array_update_address_only,3,26.375638400
percpu_array_update_address_only,4,26.315668800
percpu_array_update_address_only,5,26.272158400
percpu_array_update_fixed_cpu_address_only,1,22.963611200
percpu_array_update_fixed_cpu_address_only,2,23.002060800
percpu_array_update_fixed_cpu_address_only,3,23.010929600
percpu_array_update_fixed_cpu_address_only,4,22.914569600
percpu_array_update_fixed_cpu_address_only,5,22.937236800
percpu_array_update_no_address,1,24.152803200
percpu_array_update_no_address,2,24.264465600
percpu_array_update_no_address,3,24.292142400
percpu_array_update_no_address,4,24.188828800
percpu_array_update_no_address,5,24.310537600
percpu_array_update_fixed_cpu_no_address,1,21.134684800
percpu_array_update_fixed_cpu_no_address,2,21.152638400
percpu_array_update_fixed_cpu_no_address,3,21.151467200
percpu_array_update_fixed_cpu_no_address,4,21.331342400
percpu_array_update_fixed_cpu_no_address,5,21.120299200
percpu_array_update_no_body,1,19.704843200
percpu_array_update_no_body,2,19.561192000
percpu_array_update_no_body,3,19.569804800
percpu_array_update_no_body,4,19.551161600
percpu_array_update_no_body,5,19.584380800
