mode,run,metric,net_per_helper
base,1,cycles,430.506106300
base,1,instructions,1540.600738650
base,2,cycles,431.100953600
base,2,instructions,1541.206378600
base,3,cycles,431.442315350
base,3,instructions,1541.216847800
percpu_hash_update_raw_key_copy,1,cycles,419.487821500
percpu_hash_update_raw_key_copy,1,instructions,1492.205101150
percpu_hash_update_raw_key_copy,2,cycles,419.856395100
percpu_hash_update_raw_key_copy,2,instructions,1492.158157750
percpu_hash_update_raw_key_copy,3,cycles,419.814032850
percpu_hash_update_raw_key_copy,3,instructions,1492.153902150
percpu_hash_update_raw_value_copy,1,cycles,418.004021000
percpu_hash_update_raw_value_copy,1,instructions,1493.163071150
percpu_hash_update_raw_value_copy,2,cycles,417.340489950
percpu_hash_update_raw_value_copy,2,instructions,1493.175447850
percpu_hash_update_raw_value_copy,3,cycles,417.794309750
percpu_hash_update_raw_value_copy,3,instructions,1493.131182300
percpu_hash_update_cached_hash,1,cycles,405.295068150
percpu_hash_update_cached_hash,1,instructions,1495.196342000
percpu_hash_update_cached_hash,2,cycles,409.491759200
percpu_hash_update_cached_hash,2,instructions,1495.197381800
percpu_hash_update_cached_hash,3,cycles,408.160775950
percpu_hash_update_cached_hash,3,instructions,1495.197912350
percpu_hash_update_fixed4_equal,1,cycles,386.541201900
percpu_hash_update_fixed4_equal,1,instructions,1360.236190250
percpu_hash_update_fixed4_equal,2,cycles,387.088326600
percpu_hash_update_fixed4_equal,2,instructions,1360.302853950
percpu_hash_update_fixed4_equal,3,cycles,387.157787950
percpu_hash_update_fixed4_equal,3,instructions,1360.233161600
percpu_hash_update_cached_hash_fixed4_equal,1,cycles,364.573763700
percpu_hash_update_cached_hash_fixed4_equal,1,instructions,1314.220653550
percpu_hash_update_cached_hash_fixed4_equal,2,cycles,364.865808750
percpu_hash_update_cached_hash_fixed4_equal,2,instructions,1314.247440900
percpu_hash_update_cached_hash_fixed4_equal,3,cycles,365.308941700
percpu_hash_update_cached_hash_fixed4_equal,3,instructions,1314.287186900
percpu_hash_update_no_copy,1,cycles,332.448963800
percpu_hash_update_no_copy,1,instructions,1169.116352850
percpu_hash_update_no_copy,2,cycles,332.553426800
percpu_hash_update_no_copy,2,instructions,1169.126881900
percpu_hash_update_no_copy,3,cycles,332.100071350
percpu_hash_update_no_copy,3,instructions,1169.055234900
percpu_hash_update_no_find,1,cycles,116.617188150
percpu_hash_update_no_find,1,instructions,564.103972850
percpu_hash_update_no_find,2,cycles,119.891824050
percpu_hash_update_no_find,2,instructions,564.111139400
percpu_hash_update_no_find,3,cycles,115.192120000
percpu_hash_update_no_find,3,instructions,564.143259850
