mode,metric,mean,median,sample_sd,min,max
base,cycles,431.016458417,431.100953600,0.473789429,430.506106300,431.442315350
base,instructions,1541.007988350,1541.206378600,0.352727430,1540.600738650,1541.216847800
percpu_hash_update_raw_key_copy,cycles,419.719416483,419.814032850,0.201682466,419.487821500,419.856395100
percpu_hash_update_raw_key_copy,instructions,1492.172387017,1492.158157750,0.028411062,1492.153902150,1492.205101150
percpu_hash_update_raw_value_copy,cycles,417.712940233,417.794309750,0.339166791,417.340489950,418.004021000
percpu_hash_update_raw_value_copy,instructions,1493.156567100,1493.163071150,0.022838273,1493.131182300,1493.175447850
percpu_hash_update_cached_hash,cycles,407.649201100,408.160775950,2.144606156,405.295068150,409.491759200
percpu_hash_update_cached_hash,instructions,1495.197212050,1495.197381800,0.000798819,1495.196342000,1495.197912350
percpu_hash_update_fixed4_equal,cycles,386.929105483,387.088326600,0.337724906,386.541201900,387.157787950
percpu_hash_update_fixed4_equal,instructions,1360.257401933,1360.236190250,0.039391719,1360.233161600,1360.302853950
percpu_hash_update_cached_hash_fixed4_equal,cycles,364.916171383,364.865808750,0.370167488,364.573763700,365.308941700
percpu_hash_update_cached_hash_fixed4_equal,instructions,1314.251760450,1314.247440900,0.033476343,1314.220653550,1314.287186900
percpu_hash_update_no_copy,cycles,332.367487317,332.448963800,0.237405990,332.100071350,332.553426800
percpu_hash_update_no_copy,instructions,1169.099489883,1169.116352850,0.038685823,1169.055234900,1169.126881900
percpu_hash_update_no_find,cycles,117.233710733,116.617188150,2.409746794,115.192120000,119.891824050
percpu_hash_update_no_find,instructions,564.119457367,564.111139400,0.020922680,564.103972850,564.143259850
