# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 1908757800
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    17.63%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::per_cpu_hash_map_impl::elem_update(void const*, void const*, unsigned long)
    10.85%  helper-hash-clo  libbpftime-agent.so    [.] void boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void>::assign<unsigned char*>(unsigned char*, unsigned char*, boost::move_detail::disable_if_or<void, boost::move_detail::is_same<boost::move_detail::integral_constant<unsigned int, 2u>, boost::move_detail::integral_constant<unsigned int, 0u> >, boost::move_detail::is_convertible<unsigned char*, unsigned long>, boost::container::dtl::is_input_iterator<unsigned char*, boost::container::dtl::has_iterator_category<unsigned char*>::value>, boost::move_detail::bool_<false> >::type*) [clone .constprop.0]
     9.95%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bpftime_shm::try_get_map_handler(int) const [clone .constprop.0]
     9.04%  helper-hash-clo  libbpftime-agent.so    [.] spdlog::details::registry::instance()
     6.60%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_update_elem(void const*, void const*, unsigned long, bool) const [clone .constprop.0]
     3.89%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::get_map_production_ab_mode()
     3.80%  helper-hash-clo  libbpftime-agent.so    [.] void spdlog::logger::log_<int const&>(spdlog::source_loc, spdlog::level::level_enum, fmt::v11::basic_string_view<char>, int const&)
     3.61%  helper-hash-clo  libbpftime-agent.so    [.] bool boost::intrusive::algo_equal<boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, true>, boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, true> >(boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, true>, boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, true>, boost::container::vec_iterator<boost::interprocess::offset_ptr<unsigned char, long, unsigned long, 0ul>, true>)
     3.34%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::per_cpu_hash_map_impl::elem_lookup(void const*)
     2.80%  helper-hash-clo  libbpftime-agent.so    [.] bpftime_map_update_elem_helper
     2.80%  helper-hash-clo  libc.so.6              [.] sched_getcpu
     2.68%  helper-hash-clo  libc.so.6              [.] __aarch64_swp4_acq
     2.58%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::fix_size_hash_map_impl::elem_lookup(void const*)
