mode,run,net_ns_per_helper
base,1,249.212918400
base,2,250.101545600
base,3,248.881840000
base,4,249.862409600
base,5,249.194121600
percpu_hash_update_raw_key_copy,1,241.946254400
percpu_hash_update_raw_key_copy,2,241.776024000
percpu_hash_update_raw_key_copy,3,241.807897600
percpu_hash_update_raw_key_copy,4,242.263684800
percpu_hash_update_raw_key_copy,5,242.477452800
percpu_hash_update_raw_value_copy,1,241.778628800
percpu_hash_update_raw_value_copy,2,241.667952000
percpu_hash_update_raw_value_copy,3,242.274657600
percpu_hash_update_raw_value_copy,4,242.002636800
percpu_hash_update_raw_value_copy,5,242.321896000
percpu_hash_update_cached_hash,1,235.755025600
percpu_hash_update_cached_hash,2,236.173427200
percpu_hash_update_cached_hash,3,236.290160000
percpu_hash_update_cached_hash,4,235.731769600
percpu_hash_update_cached_hash,5,235.732401600
percpu_hash_update_fixed4_equal,1,223.371049600
percpu_hash_update_fixed4_equal,2,223.701520000
percpu_hash_update_fixed4_equal,3,224.027617600
percpu_hash_update_fixed4_equal,4,223.740755200
percpu_hash_update_fixed4_equal,5,223.185832000
percpu_hash_update_cached_hash_fixed4_equal,1,208.621614400
percpu_hash_update_cached_hash_fixed4_equal,2,210.126955200
percpu_hash_update_cached_hash_fixed4_equal,3,210.369601600
percpu_hash_update_cached_hash_fixed4_equal,4,210.747851200
percpu_hash_update_cached_hash_fixed4_equal,5,211.165222400
percpu_hash_update_no_copy,1,192.641380800
percpu_hash_update_no_copy,2,192.101998400
percpu_hash_update_no_copy,3,192.043476800
percpu_hash_update_no_copy,4,192.909363200
percpu_hash_update_no_copy,5,192.502646400
percpu_hash_update_no_find,1,67.064841600
percpu_hash_update_no_find,2,67.091694400
percpu_hash_update_no_find,3,66.435790400
percpu_hash_update_no_find,4,67.124494400
percpu_hash_update_no_find,5,66.559014400
