environment,metric,run,case,raw_count,count_per_invocation,running_percent
kernel,cycles,1,empty,269137826,2691.378260000,100.00
kernel,cycles,2,empty,268013165,2680.131650000,100.00
kernel,cycles,3,empty,268905867,2689.058670000,100.00
kernel,cycles,1,hash_lookup,4872610442,48726.104420000,100.00
kernel,cycles,2,hash_lookup,4894631336,48946.313360000,100.00
kernel,cycles,3,hash_lookup,4882435490,48824.354900000,100.00
kernel,cycles,1,loop_control,475279483,4752.794830000,100.00
kernel,cycles,2,loop_control,475375234,4753.752340000,100.00
kernel,cycles,3,loop_control,477464100,4774.641000000,100.00
bpftime,cycles,1,empty,257957241,2579.572410000,100.00
bpftime,cycles,2,empty,258448124,2584.481240000,100.00
bpftime,cycles,3,empty,262982581,2629.825810000,100.00
bpftime,cycles,1,hash_lookup,9866015316,98660.153160000,100.00
bpftime,cycles,2,hash_lookup,9743812274,97438.122740000,100.00
bpftime,cycles,3,hash_lookup,9681779871,96817.798710000,100.00
bpftime,cycles,1,loop_control,396068138,3960.681380000,100.00
bpftime,cycles,2,loop_control,401693563,4016.935630000,100.00
bpftime,cycles,3,loop_control,400014685,4000.146850000,100.00
kernel,instructions,1,empty,364333760,3643.337600000,100.00
kernel,instructions,2,empty,364283827,3642.838270000,100.00
kernel,instructions,3,empty,364310823,3643.108230000,100.00
kernel,instructions,1,hash_lookup,13610595310,136105.953100000,100.00
kernel,instructions,2,hash_lookup,13610717009,136107.170090000,100.00
kernel,instructions,3,hash_lookup,13610713692,136107.136920000,100.00
kernel,instructions,1,loop_control,1463523795,14635.237950000,100.00
kernel,instructions,2,loop_control,1463524409,14635.244090000,100.00
kernel,instructions,3,loop_control,1463524888,14635.248880000,100.00
bpftime,instructions,1,empty,682711124,6827.111240000,100.00
bpftime,instructions,2,empty,682196666,6821.966660000,100.00
bpftime,instructions,3,empty,682410908,6824.109080000,100.00
bpftime,instructions,1,hash_lookup,37281810908,372818.109080000,100.00
bpftime,instructions,2,hash_lookup,37282256009,372822.560090000,100.00
bpftime,instructions,3,hash_lookup,37281888421,372818.884210000,100.00
bpftime,instructions,1,loop_control,1082303376,10823.033760000,100.00
bpftime,instructions,2,loop_control,1082835052,10828.350520000,100.00
bpftime,instructions,3,loop_control,1082549165,10825.491650000,100.00
