metric,component,environment_or_gap,mean_per_helper,median_per_helper,sample_sd,min,max
cycles,nonhelper_loop,kernel,2.073539863,2.073620690,0.012083083,2.061416570,2.085582330
cycles,nonhelper_loop,bpftime,1.394628133,1.381108970,0.033199610,1.370321040,1.432454390
cycles,nonhelper_loop,bpftime_minus_kernel,-0.678911730,-0.680307600,0.037067212,-0.715261290,-0.641166300
cycles,helper_containing_path,kernel,44.071861503,44.049713900,0.111290991,43.973309590,44.192561020
cycles,helper_containing_path,bpftime,93.646103583,93.421187110,0.960860093,92.817651860,94.699471780
cycles,helper_containing_path,bpftime_minus_kernel,49.574242080,49.228626090,1.023839999,48.767937960,50.726162190
cycles,full_top_path,kernel,46.145401367,46.135296230,0.116058189,46.034726160,46.266181710
cycles,full_top_path,bpftime,95.040731717,94.853641500,0.960074570,94.187972900,96.080580750
cycles,full_top_path,bpftime_minus_kernel,48.895330350,48.587459790,1.031638389,48.052676670,50.045854590
instructions,nonhelper_loop,kernel,10.992148940,10.992140650,0.000252837,10.991900350,10.992405820
instructions,nonhelper_loop,bpftime,4.001229650,4.001382570,0.005232346,3.995922520,4.006383860
instructions,nonhelper_loop,bpftime_minus_kernel,-6.990919290,-6.990758080,0.004979892,-6.995977830,-6.986021960
instructions,helper_containing_path,kernel,121.471509730,121.471888040,0.000688388,121.470715150,121.471926000
instructions,helper_containing_path,bpftime,361.994225817,361.994209570,0.000841498,361.993392560,361.995075320
instructions,helper_containing_path,bpftime_minus_kernel,240.522716087,240.522283570,0.001476139,240.521504520,240.524360170
instructions,full_top_path,kernel,132.463658670,132.464028690,0.000916037,132.462615500,132.464331820
instructions,full_top_path,bpftime,365.995455467,365.994775130,0.004833837,365.990997840,366.000593430
instructions,full_top_path,bpftime_minus_kernel,233.531796797,233.530746440,0.004043286,233.528382340,233.536261610
