environment,run,order,case,iterations,total_ns,ns_per_invocation
kernel,1,0,empty,100000,122639328,1226.393280000
kernel,1,0,loop_control,100000,243233952,2432.339520000
kernel,1,0,hash_lookup,100000,2802752992,28027.529920000
kernel,2,1,loop_control,100000,243061632,2430.616320000
kernel,2,1,hash_lookup,100000,2803510496,28035.104960000
kernel,2,1,empty,100000,122587328,1225.873280000
kernel,3,2,hash_lookup,100000,2793347776,27933.477760000
kernel,3,2,empty,100000,123365632,1233.656320000
kernel,3,2,loop_control,100000,243147392,2431.473920000
kernel,4,0,empty,100000,122694752,1226.947520000
kernel,4,0,loop_control,100000,243076928,2430.769280000
kernel,4,0,hash_lookup,100000,2790367552,27903.675520000
kernel,5,1,loop_control,100000,243111936,2431.119360000
kernel,5,1,hash_lookup,100000,2793162720,27931.627200000
kernel,5,1,empty,100000,122417312,1224.173120000
kernel,6,2,hash_lookup,100000,2797870272,27978.702720000
kernel,6,2,empty,100000,122623744,1226.237440000
kernel,6,2,loop_control,100000,242940992,2429.409920000
bpftime,1,0,empty,100000,37586784,375.867840000
bpftime,1,0,loop_control,100000,117822528,1178.225280000
bpftime,1,0,hash_lookup,100000,5520976704,55209.767040000
bpftime,2,1,loop_control,100000,118099872,1180.998720000
bpftime,2,1,hash_lookup,100000,5477324672,54773.246720000
bpftime,2,1,empty,100000,37812384,378.123840000
bpftime,3,2,hash_lookup,100000,5474207200,54742.072000000
bpftime,3,2,empty,100000,37825088,378.250880000
bpftime,3,2,loop_control,100000,118190944,1181.909440000
bpftime,4,0,empty,100000,39607744,396.077440000
bpftime,4,0,loop_control,100000,119891040,1198.910400000
bpftime,4,0,hash_lookup,100000,5485321408,54853.214080000
bpftime,5,1,loop_control,100000,118178208,1181.782080000
bpftime,5,1,hash_lookup,100000,5484153344,54841.533440000
bpftime,5,1,empty,100000,38368256,383.682560000
bpftime,6,2,hash_lookup,100000,5491300800,54913.008000000
bpftime,6,2,empty,100000,37876096,378.760960000
bpftime,6,2,loop_control,100000,118232384,1182.323840000
