environment,quantity_type,quantity,mean,median,sample_sd,min,max
kernel,absolute,empty,1227.213493333,1226.315360000,3.293819336,1224.173120000,1233.656320000
kernel,absolute,loop_control,2430.954720000,2430.944320000,0.974644099,2429.409920000,2432.339520000
kernel,absolute,hash_lookup,27968.353013333,27956.090240000,54.429940104,27903.675520000,28035.104960000
kernel,derived_ns_per_helper,nonhelper_loop,1.203741227,1.204282400,0.003211141,1.197817600,1.206946240
kernel,derived_ns_per_helper,helper_containing_path,25.537398293,25.525648320,0.054323879,25.472906240,25.604488640
kernel,derived_ns_per_helper,full_top_path,26.741139520,26.729959680,0.055416976,26.676728000,26.809231680
bpftime,absolute,empty,381.793920000,378.505920000,7.455545517,375.867840000,396.077440000
bpftime,absolute,loop_control,1184.024960000,1181.845760000,7.440033407,1178.225280000,1198.910400000
bpftime,absolute,hash_lookup,54888.806880000,54847.373760000,168.515886281,54742.072000000,55209.767040000
bpftime,derived_ns_per_helper,nonhelper_loop,0.802231040,0.802853920,0.002082013,0.798099520,0.803658560
bpftime,derived_ns_per_helper,helper_containing_path,53.704781920,53.657027520,0.170644288,53.560162560,54.031541760
bpftime,derived_ns_per_helper,full_top_path,54.507012960,54.457493760,0.170601383,54.363821120,54.833899200
