environment,case,run1_ns,run2_ns,run3_ns,run4_ns,run5_ns,mean_ns,median_ns,stdev_ns,min_ns,max_ns
kernel,__bench_uprobe,1225.44,1233.59776,1229.21408,1227.49056,1237.02976,1230.554432,1229.21408,4.704598490362358,1225.44,1237.02976
kernel,__bench_array_map_lookup,3790.48192,3791.93088,3790.63136,3800.43424,3800.2192,3794.73952,3791.93088,5.131990933741038,3790.48192,3800.43424
kernel,__bench_array_map_update,13090.9056,13104.15456,13084.70912,13069.58976,13095.40128,13088.952064000001,13090.9056,12.936633686198292,13069.58976,13104.15456
kernel,__bench_hash_map_lookup,28874.99008,29100.44608,29095.61728,29035.31168,28925.66592,29006.406208,29035.31168,101.76791243995311,28874.99008,29100.44608
kernel,__bench_hash_map_update,94567.50208,94511.456,94560.576,94569.40256,94579.01024,94557.589376,94567.50208,26.617075043055138,94511.456,94579.01024
bpftime,__bench_uprobe,375.88448,379.50432,376.5296,376.41376,377.21184,377.10880000000003,376.5296,1.420092075888038,375.88448,379.50432
bpftime,__bench_array_map_lookup,13307.8608,13280.75616,13322.77792,13175.21056,13214.30496,13260.18208,13280.75616,63.12618641379236,13175.21056,13322.77792
bpftime,__bench_array_map_update,16900.70816,16804.9504,16903.58112,16780.57152,16803.63584,16838.689408,16804.9504,58.74100374070727,16780.57152,16903.58112
bpftime,__bench_hash_map_lookup,54984.10336,54751.78304,54932.8896,55356.56128,55310.81152,55067.22976,54984.10336,258.60622208038245,54751.78304,55356.56128
bpftime,__bench_hash_map_update,52059.32672,52122.1632,52023.74784,51898.29216,51834.67936,51987.641856,52023.74784,118.23625412359361,51834.67936,52122.1632
