environment,case,run1_ns,run2_ns,run3_ns,run4_ns,run5_ns,mean_ns,median_ns,stdev_ns,min_ns,max_ns
kernel,__bench_uprobe,3361.22142,3361.93197,3360.87391,3362.02716,3366.77812,3362.566516,3361.93197,2.4034017607404095,3360.87391,3366.77812
kernel,__bench_array_map_lookup,6127.17288,6123.67517,6124.23527,6127.30349,6132.80082,6127.037526,6127.17288,3.621556704143984,6123.67517,6132.80082
kernel,__bench_array_map_update,37598.97238,37717.00021,37559.55914,37731.00051,37617.44135,37644.794718,37617.44135,75.42888837678991,37559.55914,37731.00051
kernel,__bench_hash_map_lookup,54456.94274,54312.98392,54463.18256,54459.04967,54476.1671,54433.665198,54459.04967,67.87465022571146,54312.98392,54476.1671
kernel,__bench_hash_map_update,133613.0669,133604.6721,133634.18144,133631.64326,133674.45088,133631.602916,133631.64326,26.978932392606612,133604.6721,133674.45088
bpftime,__bench_uprobe,440.25025,424.91053,421.24546,422.37225,420.40565,425.83682799999997,422.37225,8.233869336953317,420.40565,440.25025
bpftime,__bench_array_map_lookup,13855.91598,13832.46508,13877.41549,13839.79558,13839.945,13849.107426,13839.945,17.995354272116256,13832.46508,13877.41549
bpftime,__bench_array_map_update,18988.12514,18975.95324,18990.29371,18964.91577,19081.93981,19000.245534,18988.12514,46.79264166213674,18964.91577,19081.93981
bpftime,__bench_hash_map_lookup,80530.66608,81266.13278,81065.55998,76561.29724,75779.8255,79040.696316,80530.66608,2648.2705898110503,75779.8255,81266.13278
bpftime,__bench_hash_map_update,87071.06824,89615.41935,88015.75429,81886.50049,80201.45363,85358.0392,87071.06824,4085.497506083916,80201.45363,89615.41935
