environment,case,run1_ns,run2_ns,run3_ns,run4_ns,run5_ns,mean_ns,median_ns,stdev_ns,min_ns,max_ns
kernel,__bench_uprobe,3358.70902,3380.53538,3369.48791,3361.58252,3366.88794,3367.440554,3366.88794,8.463565518330894,3358.70902,3380.53538
kernel,__bench_array_map_lookup,6117.75617,6135.17147,6126.756,6122.10554,6122.11716,6124.781268,6122.11716,6.623157437127217,6117.75617,6135.17147
kernel,__bench_array_map_update,37417.38118,37522.38323,37725.75078,37493.46081,37415.80551,37514.956302,37493.46081,126.7904879897107,37415.80551,37725.75078
kernel,__bench_hash_map_lookup,53365.72547,53297.26016,53317.89891,53280.85521,53315.60619,53315.469188,53315.60619,31.864213361927753,53280.85521,53365.72547
kernel,__bench_hash_map_update,132453.5289,130749.63955,132552.26373,132469.61758,132480.8113,132141.172212,132469.61758,778.8063231607699,130749.63955,132552.26373
bpftime,__bench_uprobe,428.7932,420.78323,420.68116,439.47073,419.99133,425.94393,420.78323,8.379374635016033,419.99133,439.47073
bpftime,__bench_array_map_lookup,13821.96202,13828.82068,13809.9105,13832.52371,13836.38723,13825.920828,13828.82068,10.410998110194306,13809.9105,13836.38723
bpftime,__bench_array_map_update,18960.70492,18968.2528,19037.73967,18982.4526,18973.79699,18984.589396,18973.79699,30.754455422553345,18960.70492,19037.73967
bpftime,__bench_hash_map_lookup,81327.06608,77921.43874,75981.64091,80365.44428,76224.10775,78363.939552,77921.43874,2410.1957351162364,75981.64091,81327.06608
bpftime,__bench_hash_map_update,87778.89659,83639.24718,80894.74362,87055.57462,81377.47724,84149.18785,83639.24718,3168.4261089991683,80894.74362,87778.89659
